tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-40103,31200,530530732004,43200,-122.26414670758322,46.919109706620354,20012.0
b2b-59445,27600,530350901013,43200,-122.57458089458235,47.80213727848843,530350901013.0
b2b-13556,51600,530530732003,43200,-122.23649758405864,46.784130666282756,530110413311.0
b2b-6488,25800,530330292061,43200,-122.23858998410344,47.40692034079365,530330292061.0
b2b-2307,33600,530610536023,43200,-121.91329903025373,48.01340650169937,530610536023.0
b2b-34534,18000,530530732004,43200,-122.26414670758322,46.919109706620354,20012.0
b2b-53312,22800,530350809001,43200,-122.69077505503658,47.557319673258604,530350809001.0
b2b-40064,40800,530530732004,43200,-122.26414670758322,46.919109706620354,20012.0
b2b-6821,18000,530530732003,43200,-122.23649758405864,46.784130666282756,410050227072.0
b2b-49503,27000,530330305011,43200,-122.22937916034631,47.34481792975597,530330305011.0
b2b-21208,49200,530330308011,43200,-122.2500536702888,47.29698318406894,530330308011.0
b2b-19858,25200,530530726032,43200,-122.773472463407,47.18858769174955,530670110001.0
b2b-17308,35400,530330093003,43200,-122.33702311481734,47.57517098076726,530330093003.0
b2b-47207,46800,530530713051,43200,-122.39962432183859,47.14763607942321,530530713051.0
b2b-1267,35400,530610519222,43200,-122.2131137312567,47.79734125341525,530610519222.0
b2b-16046,33600,530330308011,43200,-122.23082821289192,47.27417684656522,530330308011.0
