carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,vehicleTypeIdOrig,vehicleIdOrig
6354032-1-mdv,b2b-16334,ft-168eb2,ft-mdv-Gas,530330054002,-122.33580576928122,47.64680039102356,530330054002.0,mdv_G_Gasoline,b2b--c33-19157
6344657-1-mdv,b2b-16339,ft-7516b3,ft-mdv-Dsl,530330218022,-122.18253210269616,47.760931305729706,530330218022.0,mdv_D_Diesel,b2b--c33-19165
6330927-1-mdv,b2b-16342,ft-f8c140,ft-mdv-Dsl,530330283003,-122.25658880049367,47.44111342593837,530330283003.0,mdv_D_Diesel,b2b--c33-19171
6359828-1-mdv,b2b-16362,ft-2548f4,ft-mdv-Dsl,530330106001,-122.3766018758728,47.54429753977698,530330106001.0,mdv_D_Diesel,b2b--c33-19286
6364947-1-mdv,b2b-16402,ft-c559d4,ft-mdv-Dsl,530330012005,-122.33032395030415,47.70484162167363,530330012005.0,mdv_D_Diesel,b2b--c33-19398
6358408-1-mdv,b2b-16411,ft-8cc34f,ft-mdv-Dsl,530330075004,-122.3168079915358,47.615691611795626,530330075004.0,mdv_D_Diesel,b2b--c33-19426
6358409-1-mdv,b2b-16413,ft-f00885,ft-mdv-Gas,530330061001,-122.31761928380271,47.64776365228689,530330061001.0,mdv_G_Gasoline,b2b--c33-19433
6349759-1-mdv,b2b-16414,ft-0392fa,ft-mdv-Dsl,530330048003,-122.36143452560222,47.65578638646731,530330048003.0,mdv_D_Diesel,b2b--c33-19436
6331316-1-mdv,b2b-16448,ft-b6d677,ft-mdv-Dsl,530330292061,-122.23132579083556,47.42305438686176,530330292061.0,mdv_D_Diesel,b2b--c33-19563
7361948-1-mdv,b2b-16453,ft-67cda6,ft-mdv-Dsl,530330283003,-122.24813978130334,47.43556234343685,530330283003.0,mdv_D_Diesel,b2b--c33-19585
7363462-1-mdv,b2b-16456,ft-d14a12,ft-mdv-Dsl,530330218021,-122.18031809989122,47.77086411111497,530330218021.0,mdv_D_Diesel,b2b--c33-19595
6365968-1-mdv,b2b-16469,ft-f12103,ft-mdv-Dsl,530330099004,-122.3697495034238,47.57225892090391,530330099004.0,mdv_D_Diesel,b2b--c33-19629
7366481-1-hdt,b2b-16503,ft-03dfed,ft-hdt-Dsl,530330090001,-122.30511586756738,47.598985220902,530330090001.0,hdt_D_Diesel,b2b--c33-19759
6316345-5-mdv,b2b-16523,ft-0273da,ft-mdv-Dsl,530330308013,-122.22900848890902,47.27776990628967,530330308013.0,mdv_D_Diesel,b2b--c33-19901
6317988-1-hdt,b2b-16559,ft-c06bd7,ft-hdt-Dsl,530330300032,-122.31073708566348,47.355554977226625,530330300032.0,hdt_D_Diesel,b2b--c33-20082
6366326-2-ld1,b2b-16576,ft-120885,ft-ld1-Gas,530330014003,-122.36231342698258,47.70169068043979,530330014003.0,ld1_G_Gasoline,b2b--c33-20161
7361998-2-hdv,b2b-16583,ft-206c71,ft-hdv-Dsl,530330292061,-122.2312256234028,47.42162138909123,530330292061.0,hdv_D_Diesel,b2b--c33-20170
7361998-2-hdv,b2b-16584,ft-a63ec8,ft-hdv-Dsl,530330292061,-122.2312256234028,47.42162138909123,530330292061.0,hdv_D_Diesel,b2b--c33-20214
7361998-5-mdv,b2b-16588,ft-45a2a5,ft-mdv-Dsl,530330292061,-122.2312256234028,47.42162138909123,530330292061.0,mdv_D_Diesel,b2b--c33-20236
7361998-1-hdt,b2b-16589,ft-ae7c8b,ft-hdt-Dsl,530330292061,-122.2312256234028,47.42162138909123,530330292061.0,hdt_D_Diesel,b2b--c33-20276
6356034-1-mdv,b2b-16598,ft-6d2689,ft-mdv-Dsl,530330263001,-122.30354020513339,47.527400329206884,530330263001.0,mdv_D_Diesel,b2b--c33-20302
7361000-2-mdv,b2b-16600,ft-298502,ft-mdv-Dsl,530330237003,-122.18498083408862,47.63139492783969,530330237003.0,mdv_D_Diesel,b2b--c33-20303
7361000-2-mdv,b2b-16604,ft-fdce70,ft-mdv-Dsl,530330237003,-122.18498083408862,47.63139492783969,530330237003.0,mdv_D_Diesel,b2b--c33-20307
6360542-1-mdv,b2b-16613,ft-e314dd,ft-mdv-Dsl,530330032003,-122.39307857599691,47.66877713723656,530330032003.0,mdv_D_Diesel,b2b--c33-20370
6354746-1-hdt,b2b-16620,ft-fd5380,ft-hdt-Dsl,530330047003,-122.37727361579063,47.66862046365518,530330047003.0,hdt_D_Diesel,b2b--c33-20393
6362464-1-hdt,b2b-16626,ft-e0fcf7,ft-hdt-Dsl,530330071002,-122.35809762610356,47.62271312648639,530330071002.0,hdt_D_Diesel,b2b--c33-20404
7363915-3-mdv,b2b-16646,ft-6600ad,ft-mdv-Gas,530330081002,-122.3322496504924,47.60406911770596,530330081002.0,mdv_G_Gasoline,b2b--c33-20496
7363915-3-mdv,b2b-16648,ft-a3f0fa,ft-mdv-Gas,530330081002,-122.3322496504924,47.60406911770596,530330081002.0,mdv_G_Gasoline,b2b--c33-20498
6373942-1-mdv,b2b-16690,ft-3b5b13,ft-mdv-Dsl,530330058014,-122.39012189587632,47.66179626146094,530330058014.0,mdv_D_Diesel,b2b--c33-20675
6321424-1-mdv,b2b-16693,ft-f15e7f,ft-mdv-Dsl,530330227012,-122.20014522950564,47.64497194515811,530330227012.0,mdv_D_Diesel,b2b--c33-20680
6328908-1-mdv,b2b-16700,ft-69e5a4,ft-mdv-Dsl,530330216002,-122.26148783071189,47.759747611932944,530330216002.0,mdv_D_Diesel,b2b--c33-20691
6317194-1-mdv,b2b-16722,ft-6840a1,ft-mdv-Dsl,530330308011,-122.2423752095219,47.27895315046367,530330308011.0,mdv_D_Diesel,b2b--c33-20737
