taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls
,Public,noCharger,non-res,,,-122.3481451,47.61443870700006,520563,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3397927,47.61009520950006,520595,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3316977,47.60074103750006,520623,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3509912,47.61708721800008,520638,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3423112,47.61079529350005,520642,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3168934,47.60859333900004,520695,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3377748,47.607879145000055,520723,Any,Block,0,6
,Public,noCharger,non-res,,,-122.344389,47.61222111400008,520727,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3195539,47.613859986500074,520731,Any,Block,0,14
,Public,noCharger,non-res,,,-122.3195482,47.61332850750006,520747,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3404861,47.61226340650006,520813,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3327302,47.602681953000065,520871,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3511867,47.61720280100005,520900,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3195211,47.61276518000005,520917,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3430669,47.61357809700007,520968,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3343545,47.60415069700005,520977,Any,Block,0,10
,Public,noCharger,non-res,,,-122.3309623,47.60073551900007,520990,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3495438,47.61761843700006,521232,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3455387,47.61525027700006,521254,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3412437,47.610030220000056,521330,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3338336,47.60357591050007,521340,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3440842,47.61440172300004,521354,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3441952,47.61191357900006,521393,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3302196,47.59949562150004,521415,Any,Block,0,3
,Public,noCharger,non-res,,,-122.353065,47.61734962450004,521425,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3526047,47.61802305750007,521455,Any,Block,0,4
,Public,noCharger,non-res,,,-122.316911,47.61196635100006,521459,Any,Block,0,2
,Public,noCharger,non-res,,,-122.316904,47.61217217300007,521591,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3355781,47.605795866500046,521614,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3409899,47.610023838000046,521639,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3347312,47.604870067000036,521682,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3511296,47.61716907100006,521703,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3450827,47.612438215000054,521756,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3548556,47.61840180650007,521855,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3314383,47.60069149750006,521896,Any,Block,0,1
,Public,noCharger,non-res,,,-122.3462445,47.61331836250005,521935,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3406123,47.611164296000055,521939,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3334171,47.60342783450005,521943,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3420128,47.612969393500066,521956,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3314472,47.59935102050005,521957,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3472506,47.61606621650006,521962,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3473708,47.614960896500065,521966,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3314383,47.600718888000074,522065,Any,Block,0,1
,Public,noCharger,non-res,,,-122.338508,47.60700306700005,522176,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3424712,47.613225888000045,522216,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3422517,47.610949518500036,522270,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3384912,47.60729214350005,522331,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3490346,47.61476804100005,522373,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3434873,47.61149118900008,522385,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3453289,47.613953521500065,522475,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3340583,47.59679348750003,522512,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3474598,47.61452982150004,522647,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3448501,47.61297467950004,522677,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3232691,47.60330517800003,522688,Any,Block,0,8
,Public,noCharger,non-res,,,-122.3403964,47.61642230600003,522691,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3402341,47.61638537500004,522710,Any,Block,0,9
,Public,noCharger,non-res,,,-122.3440079,47.61364260050004,522717,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3386391,47.61331995400005,522727,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3428946,47.614503185000046,522793,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3458469,47.61378198400007,522812,Any,Block,0,2
,Public,noCharger,non-res,,,-122.347688,47.61093243600007,522878,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3351156,47.61828849400004,522886,Any,Block,0,7
,Public,noCharger,non-res,,,-122.3356276,47.600356499500066,523000,Any,Block,0,5
,Public,noCharger,non-res,,,-122.3212418,47.610196676000044,523047,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3230261,47.61196366500005,523121,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3529015,47.613631904000044,523123,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3403775,47.60621604500005,523127,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3459081,47.61373465500006,523146,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3470217,47.61308583200005,523281,Any,Block,0,5
,Public,noCharger,non-res,,,-122.337672,47.60341860150004,523287,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3398229,47.605568432500064,523313,Any,Block,0,21
,Public,noCharger,non-res,,,-122.3402681,47.61447966400007,523323,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3404364,47.60651504450007,523378,Any,Block,0,9
,Public,noCharger,non-res,,,-122.3478574,47.61242692050004,523511,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3435733,47.615756120500066,523547,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3438477,47.61356241850004,523643,Any,Block,0,2
,Public,noCharger,non-res,,,-122.3453469,47.61241136700005,523664,Any,Block,0,6
,Public,noCharger,non-res,,,-122.3442723,47.61500350000006,523747,Any,Block,0,4
,Public,noCharger,non-res,,,-122.3456395,47.612368264000054,523911,Any,Block,0,3
,Public,noCharger,non-res,,,-122.3226895,47.611594997000054,523957,Any,Block,0,5
,Public,noCharger,non-res,,,-122.345706,47.612316805000034,523970,Any,Block,0,2
