tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY
b2b-all-2351679-1-0md-d-0,50880,3826,3600,-122.18261904679127,48.04990684095329
b2b-all-2351679-1-0hdt-d-1,50880,3826,3600,-122.18261904679127,48.04990684095329
b2b-all-2353880-1-1hdt-d-2,29460,3589,3600,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-1hdt-d-3,26160,3589,3600,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-1hdt-d-4,32160,3589,3600,-122.32929698162673,47.79902637127254
b2b-all-2353880-1-2hdt-d-5,29040,3589,3600,-122.32929698162673,47.79902637127254
b2b-all-2353882-2-3hdv-d-0-6,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-0-7,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-0-8,29940,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1-9,27240,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1-10,29580,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-1-11,27300,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2-12,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2-13,28260,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-2-14,23400,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3-15,23280,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3-16,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-3-17,25620,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4-18,24300,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4-19,27600,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-4-20,23280,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5-21,30300,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5-22,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-5-23,32220,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-3hdv-d-6-24,22980,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353882-2-4hdv-d-25,50400,3625,3600,-122.28659156226864,47.82652426147904
b2b-all-2353887-1-5hdv-d-26,31380,3754,3600,-121.96997707108169,47.85466090083877
b2b-all-2353888-1-6hdt-d-27,23460,3181,3600,-122.78777614001072,47.20701293088086
b2b-all-2355274-2-7hdt-d-0-28,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-0-29,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-0-30,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1-31,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1-32,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-1-33,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355274-2-7hdt-d-2-34,39060,3630,3600,-122.26602138049964,47.83062485195299
b2b-all-2355276-1-8hdv-d-35,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-all-2355276-1-8hdv-d-36,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-all-2355276-1-8hdv-d-37,26160,3817,3600,-122.1681014623342,48.085244490126605
b2b-all-29411-2-9md-d-38,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-39,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-40,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-41,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-42,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-43,29940,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9md-d-44,29340,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdt-d-45,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d-46,29040,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d-47,33540,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d-48,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d-49,27780,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-2-9hdv-d-50,31140,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-51,19920,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-52,27540,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-53,17160,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-54,17940,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-55,34440,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-56,24840,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-57,31980,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-58,21240,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-59,17160,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-60,28020,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-61,33300,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-62,19020,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-63,33840,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-64,21660,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29411-3-10hdt-d-65,20880,3860,3600,-122.2273538455668,48.28573907622722
b2b-all-29412-1-11md-d-66,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-67,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-68,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-69,24960,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-70,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-71,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11md-d-72,28740,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11hdt-d-73,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29412-1-11hdt-d-74,24360,3458,3600,-122.24909318316016,47.94165425532688
b2b-all-29735-4-12hdv-d-75,16920,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29735-4-12hdv-d-76,15600,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-77,18240,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-78,21240,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-79,19680,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-80,9420,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-81,9420,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-82,9420,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-1-13md-d-83,17640,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-84,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-85,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-86,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-87,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-88,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-89,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-90,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-91,30720,3191,3600,-122.49983911306354,47.031011120285626
b2b-all-29736-3-14hdt-d-92,30720,3191,3600,-122.49983911306354,47.031011120285626
