"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",0.20301198449802
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",0.231888575927254
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",0.254413022404374
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",0.318236540430665
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",0.312659492986794
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",0.314280882711634
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",0.288065344115046
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",0.288065344115046
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",0.277591324914547
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",0.277591324914547
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",0.277591324914547
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",0.277591324914547
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",0.277591324914547
"(5, 10]","(-20, -19]","(25850.34, 26303.855]",0.29255253133047
"(5, 10]","(-20, -19]","(26303.855, 26757.37]",0.276644404892812
"(5, 10]","(-20, -19]","(26757.37, 27210.884]",0.276644404892812
"(5, 10]","(-20, -19]","(27210.884, 27664.399]",0.276644404892812
"(5, 10]","(-20, -19]","(27664.399, 28117.914]",0.276644404892812
"(5, 10]","(-20, -19]","(28117.914, 28571.429]",0.276644404892812
"(5, 10]","(-20, -19]","(28571.429, 29024.943]",0.27324197656308
"(5, 10]","(-20, -19]","(29024.943, 29478.458]",0.27324197656308
"(5, 10]","(-20, -19]","(29478.458, 29931.973]",0.27324197656308
"(5, 10]","(-20, -19]","(29931.973, 30385.488]",0.27324197656308
"(5, 10]","(-20, -19]","(30385.488, 30839.002]",0.27324197656308
"(5, 10]","(-20, -19]","(30839.002, 31292.517]",0.268847607974377
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",0.265623355890544
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",0.265374832921427
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",0.265374832921427
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",0.25944830833446
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",0.25944830833446
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",0.262380018292008
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",0.244949250458346
"(5, 10]","(-20, -19]","(34467.12, 34920.635]",0.239159188026442
"(5, 10]","(-20, -19]","(34920.635, 35374.15]",0.239159188026442
