payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
18191996,2,b2b-53,mfr_goods,unloading,530330093002,30360,27000,93600,540,-122.33545119697771,47.58112481632124,530330093002.0,517210,33331A,210.92045205000002,delivery-only,private
21931835,3,b2b-53,mfr_goods,unloading,530330081002,30960,27000,93600,1020,-122.3331147665877,47.60828068060249,530330081002.0,561500,33331A,210.92045205000002,delivery-only,private
14711247,4,b2b-53,mfr_goods,unloading,530330248002,32580,27000,93600,1200,-122.14127039854904,47.576196134229846,530330248002.0,561500,33331A,210.92045205000002,delivery-only,private
61-db2b53-,5,b2b-53,mfr_goods,loading,530610519281,36660,0,0,0,-122.24969127645385,47.848404587498,530610519281.0,,,0.0,delivery-only,
61-db2b63,0,b2b-63,mfr_goods,loading,530610413042,33000,0,0,0,-122.25235615974802,47.92458441691917,530610413042.0,,,790.61150091,delivery-only,
15276085,1,b2b-63,mfr_goods,unloading,530530712064,42600,33000,93600,420,-122.29986379414125,47.16219652339897,530530712064.0,813100,339990,131.99537967,delivery-only,private
9180961,2,b2b-63,mfr_goods,unloading,530530704033,43680,33000,93600,660,-122.21191233941768,47.09350353212272,530530704033.0,812100,339990,131.5417873,delivery-only,private
6036053,3,b2b-63,mfr_goods,unloading,530330320111,47400,33000,93600,840,-122.02156721092555,47.36451127763494,530330320111.0,812100,339990,131.99537967,delivery-only,private
6036034,4,b2b-63,mfr_goods,unloading,530330320111,48420,33000,93600,1080,-122.02156721092555,47.36451127763494,530330320111.0,812100,339990,131.99537967,delivery-only,private
13873280,5,b2b-63,mfr_goods,unloading,530330318003,50280,33000,93600,900,-122.09560020049226,47.42194050040416,530330318003.0,812100,339990,131.5417873,delivery-only,private
19393463,6,b2b-63,mfr_goods,unloading,530330322083,53160,33000,93600,960,-122.04120264171914,47.548957160406346,530330322083.0,812100,339990,131.5417873,delivery-only,private
61-db2b63-,7,b2b-63,mfr_goods,loading,530610413042,57420,0,0,0,-122.25235615974802,47.92458441691917,530610413042.0,,,0.0,delivery-only,
61-db2b80,0,b2b-80,mfr_goods,loading,530610522041,39600,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,36.74098197,delivery-only,
12259827,1,b2b-80,mfr_goods,unloading,530330006004,43260,39600,93600,660,-122.33743091081242,47.71549006053314,530330006004.0,621500,339112,12.24699399,delivery-only,private
12259462,2,b2b-80,mfr_goods,unloading,530330006004,43920,39600,93600,660,-122.33743091081242,47.71549006053314,530330006004.0,621500,339112,12.24699399,delivery-only,private
11336890,3,b2b-80,mfr_goods,unloading,530330019001,44700,39600,93600,360,-122.32601712823238,47.70081314729155,530330019001.0,621400,339112,12.24699399,delivery-only,private
61-db2b80-,4,b2b-80,mfr_goods,loading,530610522041,47100,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,0.0,delivery-only,
61-db2b89,0,b2b-89,mfr_goods,loading,530610522041,39600,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,58.9670081,delivery-only,
20802743,1,b2b-89,mfr_goods,unloading,530530617001,47760,39600,93600,1080,-122.44501568640634,47.2346890198036,530530617001.0,621400,339112,11.793401620000001,delivery-only,private
20802547,2,b2b-89,mfr_goods,unloading,530530617001,48840,39600,93600,600,-122.44501568640634,47.2346890198036,530530617001.0,621400,339112,11.793401620000001,delivery-only,private
20802520,3,b2b-89,mfr_goods,unloading,530530617001,49440,39600,93600,1140,-122.44501568640634,47.2346890198036,530530617001.0,621400,339112,11.793401620000001,delivery-only,private
20802431,4,b2b-89,mfr_goods,unloading,530530617001,50580,39600,93600,720,-122.44501568640634,47.2346890198036,530530617001.0,621400,339112,11.793401620000001,delivery-only,private
20801514,5,b2b-89,mfr_goods,unloading,530530617001,51300,39600,93600,1140,-122.44501568640634,47.2346890198036,530530617001.0,621400,339112,11.793401620000001,delivery-only,private
61-db2b89-,6,b2b-89,mfr_goods,loading,530610522041,59700,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,0.0,delivery-only,
61-db2b92,0,b2b-92,mfr_goods,loading,530610522041,39600,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,61.23496995,delivery-only,
11336511,1,b2b-92,mfr_goods,unloading,530330019001,43320,39600,93600,420,-122.32601712823238,47.70081314729155,530330019001.0,621400,339112,12.24699399,delivery-only,private
21606531,2,b2b-92,mfr_goods,unloading,530530611004,47460,39600,93600,720,-122.4824884061124,47.241332494115575,530530611004.0,621400,339112,12.24699399,delivery-only,private
21605832,3,b2b-92,mfr_goods,unloading,530530611004,48360,39600,93600,360,-122.4824884061124,47.241332494115575,530530611004.0,621400,339112,12.24699399,delivery-only,private
21605625,4,b2b-92,mfr_goods,unloading,530530611004,48900,39600,93600,420,-122.4824884061124,47.241332494115575,530530611004.0,621400,339112,12.24699399,delivery-only,private
21605081,5,b2b-92,mfr_goods,unloading,530530611004,49500,39600,93600,840,-122.4824884061124,47.241332494115575,530530611004.0,621400,339112,12.24699399,delivery-only,private
61-db2b92-,6,b2b-92,mfr_goods,loading,530610522041,57720,0,0,0,-121.99996259003468,47.86437837912441,530610522041.0,,,0.0,delivery-only,
61-db2b101,0,b2b-101,mfr_goods,loading,530610413042,29400,0,0,0,-122.24906781813706,47.93016126417833,530610413042.0,,,1186.14404755,delivery-only,
16935539,1,b2b-101,mfr_goods,unloading,530330006004,33000,29400,93600,1020,-122.34416217636978,47.707944665546094,530330006004.0,624400,339940,131.5417873,delivery-only,private
15652376,2,b2b-101,mfr_goods,unloading,530330082001,35040,29400,93600,780,-122.33214182677588,47.61099849539743,530330082001.0,5416A0,339940,131.99537967,delivery-only,private
24125135,3,b2b-101,mfr_goods,unloading,530330093003,36060,29400,93600,480,-122.33766367495626,47.57053635371145,530330093003.0,230301,339940,131.99537967,delivery-only,private
28239148,4,b2b-101,mfr_goods,unloading,530330284024,37500,29400,93600,600,-122.2974561687573,47.44381143722999,530330284024.0,48A000,339940,131.99537967,delivery-only,private
28239001,5,b2b-101,mfr_goods,unloading,530330284024,38340,29400,93600,660,-122.2974561687573,47.44381143722999,530330284024.0,48A000,339940,131.99537967,delivery-only,private
21991776,6,b2b-101,mfr_goods,unloading,530530712072,42120,29400,93600,840,-122.2820158048103,47.15211294574782,530530712072.0,561100,339940,131.5417873,delivery-only,private
21992032,7,b2b-101,mfr_goods,unloading,530530712072,43080,29400,93600,1140,-122.2820158048103,47.15211294574782,530530712072.0,561100,339940,131.5417873,delivery-only,private
28238743,8,b2b-101,mfr_goods,unloading,530330284024,47340,29400,93600,660,-122.2974561687573,47.44381143722999,530330284024.0,48A000,339940,131.99537967,delivery-only,private
13062545,9,b2b-101,mfr_goods,unloading,530330240001,49680,29400,93600,1140,-122.19059967930068,47.636383210759575,530330240001.0,624400,339940,131.5417873,delivery-only,private
61-db2b101-,10,b2b-101,mfr_goods,loading,530610413042,54060,0,0,0,-122.24906781813706,47.93016126417833,530610413042.0,,,0.0,delivery-only,
61-db2b110,0,b2b-110,mfr_goods,loading,530610413042,7800,0,0,0,-122.25191398814933,47.92448293044668,530610413042.0,,,1524.97754794,delivery-only,
11540984,1,b2b-110,mfr_goods,unloading,530610533014,11700,7800,115200,840,-122.31610846863688,48.31193108584794,530730001003.0,4A0000,334413,49.44156833,delivery-only,private
2719691,2,b2b-110,mfr_goods,unloading,530610533014,12840,7800,115200,660,-122.31610846863688,48.31193108584794,530559601004.0,517110,334413,48.98797596,delivery-only,private
6542380,3,b2b-110,mfr_goods,unloading,530610533014,13800,7800,115200,540,-122.31610846863688,48.31193108584794,530730004003.0,423400,334413,48.98797596,delivery-only,private
25912049,4,b2b-110,mfr_goods,unloading,530610537001,21840,7800,115200,1080,-121.4007171060678,47.41209531237868,530630035001.0,541512,334413,48.98797596,delivery-only,private
21282627,5,b2b-110,mfr_goods,unloading,530610537001,23100,7800,115200,1140,-121.4007171060678,47.41209531237868,530630114003.0,811200,334413,48.98797596,delivery-only,private
16243953,6,b2b-110,mfr_goods,unloading,530610537001,24420,7800,115200,1020,-121.4007171060678,47.41209531237868,530630131001.0,517110,334413,48.98797596,delivery-only,private
7175161,7,b2b-110,mfr_goods,unloading,530610537001,25620,7800,115200,720,-121.06731919588896,47.75089046929392,530630031004.0,811200,334413,48.98797596,delivery-only,private
7224969,8,b2b-110,mfr_goods,unloading,530610537001,26520,7800,115200,780,-121.4007171060678,47.41209531237868,530630116001.0,541512,334413,48.98797596,delivery-only,private
7224296,9,b2b-110,mfr_goods,unloading,530610537001,27480,7800,115200,960,-121.4007171060678,47.41209531237868,530630116001.0,541512,334413,48.98797596,delivery-only,private
6139793,10,b2b-110,mfr_goods,unloading,530610537001,28620,7800,115200,720,-121.4007171060678,47.41209531237868,530630035002.0,423400,334413,48.98797596,delivery-only,private
2843878,11,b2b-110,mfr_goods,unloading,530610537001,29520,7800,115200,900,-121.4007171060678,47.41209531237868,530630132021.0,518200,334413,49.44156833,delivery-only,private
2080387,12,b2b-110,mfr_goods,unloading,530610537001,30600,7800,115200,660,-121.4007171060678,47.41209531237868,530630122001.0,423400,334413,49.44156833,delivery-only,private
21809731,13,b2b-110,mfr_goods,unloading,530610537001,31440,7800,115200,540,-121.4007171060678,47.41209531237868,530630106021.0,811200,334413,48.98797596,delivery-only,private
21809377,14,b2b-110,mfr_goods,unloading,530610537001,32160,7800,115200,960,-121.4007171060678,47.41209531237868,530630106021.0,811200,334413,48.98797596,delivery-only,private
12752570,15,b2b-110,mfr_goods,unloading,530610537001,33300,7800,115200,720,-121.4007171060678,47.41209531237868,530659513003.0,336411,334413,48.98797596,delivery-only,private
17100197,16,b2b-110,mfr_goods,unloading,530330328003,39420,7800,115200,300,-121.4007171060678,47.41209531237868,530179505003.0,517A00,334413,48.98797596,delivery-only,private
2804883,17,b2b-110,mfr_goods,unloading,530330328003,40380,7800,115200,960,-121.4007171060678,47.41209531237868,530179504001.0,532400,334413,48.98797596,delivery-only,private
27746584,18,b2b-110,mfr_goods,unloading,530330315021,46080,7800,115200,900,-121.4007171060678,47.41209531237868,530770013002.0,33399B,334413,49.44156833,delivery-only,private
13414844,19,b2b-110,mfr_goods,unloading,530330315021,47280,7800,115200,540,-121.4007171060678,47.41209531237868,530770017021.0,339950,334413,49.44156833,delivery-only,private
1526682,20,b2b-110,mfr_goods,unloading,530330315021,48120,7800,115200,300,-121.4007171060678,47.41209531237868,530719207011.0,517110,334413,48.98797596,delivery-only,private
1525943,21,b2b-110,mfr_goods,unloading,530330315021,48720,7800,115200,780,-121.4007171060678,47.41209531237868,530719207011.0,517110,334413,48.98797596,delivery-only,private
24252005,22,b2b-110,mfr_goods,unloading,530330315021,49800,7800,115200,600,-121.4007171060678,47.41209531237868,530050109023.0,517110,334413,48.98797596,delivery-only,private
11812786,23,b2b-110,mfr_goods,unloading,530330315021,50700,7800,115200,1200,-121.4007171060678,47.41209531237868,530770013002.0,333993,334413,49.44156833,delivery-only,private
11812567,24,b2b-110,mfr_goods,unloading,530330315021,52200,7800,115200,780,-121.4007171060678,47.41209531237868,530770013002.0,333993,334413,49.44156833,delivery-only,private
486214,25,b2b-110,mfr_goods,unloading,530330315021,53280,7800,115200,660,-121.4007171060678,47.41209531237868,530770011004.0,332710,334413,49.44156833,delivery-only,private
15915356,26,b2b-110,mfr_goods,unloading,530530732004,59340,7800,115200,1140,-122.722177527917,47.06726163014591,530399503006.0,336411,334413,49.44156833,delivery-only,private
20889034,27,b2b-110,mfr_goods,unloading,530530729061,62400,7800,115200,840,-122.722177527917,47.06726163014591,530419707001.0,811100,334413,49.44156833,delivery-only,private
302509,28,b2b-110,mfr_goods,unloading,530530729061,63720,7800,115200,960,-122.722177527917,47.06726163014591,530419708004.0,4A0000,334413,49.44156833,delivery-only,private
302141,29,b2b-110,mfr_goods,unloading,530530729061,65160,7800,115200,720,-122.722177527917,47.06726163014591,530419708004.0,4A0000,334413,49.44156833,delivery-only,private
302086,30,b2b-110,mfr_goods,unloading,530530729061,66360,7800,115200,660,-122.722177527917,47.06726163014591,530419708004.0,4A0000,334413,49.44156833,delivery-only,private
