carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone
2354448-1-0md-d,b2b-0,2354448-1-0md-d-c61-25,md-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5798.0
2354448-1-0hdt-d,b2b-1,2354448-1-0hdt-d-c61-103,hdt-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5798.0
2354448-2-1md-d,b2b-2,2354448-2-1md-d-c61-104,md-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5798.0
2354448-2-1hdt-d,b2b-3,2354448-2-1hdt-d-c61-252,hdt-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5798.0
2354448-2-1hdv-d,b2b-4,2354448-2-1hdv-d-c61-342,hdv-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5798.0
29413-4-2md-d,b2b-5,29413-4-2md-d-c61-371,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-6,29413-4-2md-d-c61-372,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-7,29413-4-2md-d-c61-398,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-8,29413-4-2md-d-c61-399,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-9,29413-4-2md-d-c61-400,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-10,29413-4-2md-d-c61-401,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2md-d,b2b-11,29413-4-2md-d-c61-402,md-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2hdv-d,b2b-12,29413-4-2hdv-d-c61-487,hdv-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29413-4-2hdv-d,b2b-13,29413-4-2hdv-d-c61-488,hdv-D-Diesel-2018-Baseline,3888,-121.93477546145756,48.10669995087368,3888.0
29736-4-3hdv-d,b2b-14,29736-4-3hdv-d-c61-515,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2586.0
29736-4-3hdv-d,b2b-15,29736-4-3hdv-d-c61-516,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2586.0
31550-1-4md-d,b2b-16,31550-1-4md-d-c61-545,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-17,31550-1-4md-d-c61-546,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-18,31550-1-4md-d-c61-547,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-19,31550-1-4md-d-c61-548,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-20,31550-1-4md-d-c61-549,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-21,31550-1-4md-d-c61-550,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-22,31550-1-4md-d-c61-551,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
31550-1-4md-d,b2b-23,31550-1-4md-d-c61-552,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2595.0
6594536-4-5hdv-d-0,b2b-24,6594536-4-5hdv-d-0-c61-640,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-25,6594536-4-5hdv-d-0-c61-641,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-26,6594536-4-5hdv-d-0-c61-642,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-27,6594536-4-5hdv-d-0-c61-643,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-28,6594536-4-5hdv-d-0-c61-644,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-29,6594536-4-5hdv-d-0-c61-645,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-30,6594536-4-5hdv-d-0-c61-646,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-31,6594536-4-5hdv-d-0-c61-647,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-32,6594536-4-5hdv-d-0-c61-648,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-33,6594536-4-5hdv-d-0-c61-649,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-34,6594536-4-5hdv-d-0-c61-650,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-35,6594536-4-5hdv-d-0-c61-651,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-36,6594536-4-5hdv-d-0-c61-652,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-37,6594536-4-5hdv-d-0-c61-653,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-0,b2b-38,6594536-4-5hdv-d-0-c61-654,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-39,6594536-4-5hdv-d-1-c61-745,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-40,6594536-4-5hdv-d-1-c61-746,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-41,6594536-4-5hdv-d-1-c61-747,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-42,6594536-4-5hdv-d-1-c61-748,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-43,6594536-4-5hdv-d-1-c61-749,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-44,6594536-4-5hdv-d-1-c61-750,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-45,6594536-4-5hdv-d-1-c61-751,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-46,6594536-4-5hdv-d-1-c61-752,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-47,6594536-4-5hdv-d-1-c61-753,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-48,6594536-4-5hdv-d-1-c61-754,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-49,6594536-4-5hdv-d-1-c61-755,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594536-4-5hdv-d-1,b2b-50,6594536-4-5hdv-d-1-c61-756,hdv-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,2600.0
6594547-4-6hdt-d,b2b-51,6594547-4-6hdt-d-c61-782,hdt-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdt-d,b2b-52,6594547-4-6hdt-d-c61-783,hdt-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdv-d,b2b-53,6594547-4-6hdv-d-c61-868,hdv-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdv-d,b2b-54,6594547-4-6hdv-d-c61-869,hdv-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdv-d,b2b-55,6594547-4-6hdv-d-c61-870,hdv-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdv-d,b2b-56,6594547-4-6hdv-d-c61-871,hdv-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6594547-4-6hdv-d,b2b-57,6594547-4-6hdv-d-c61-872,hdv-D-Diesel-2018-Baseline,3715,-122.16713710154345,47.82189449135689,3715.0
6596877-1-7md-d,b2b-58,6596877-1-7md-d-c61-873,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-59,6596877-1-7md-d-c61-874,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-60,6596877-1-7md-d-c61-875,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-61,6596877-1-7md-d-c61-878,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-62,6596877-1-7md-d-c61-879,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-63,6596877-1-7md-d-c61-880,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6596877-1-7md-d,b2b-64,6596877-1-7md-d-c61-904,md-D-Diesel-2018-Baseline,3888,-121.89051658925814,48.115518068053305,3888.0
6657604-1-8md-d,b2b-65,6657604-1-8md-d-c61-932,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4426.0
6657604-1-8md-d,b2b-66,6657604-1-8md-d-c61-933,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4426.0
6657604-1-8md-d,b2b-67,6657604-1-8md-d-c61-934,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4426.0
6657604-1-8md-d,b2b-68,6657604-1-8md-d-c61-935,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4426.0
6657604-1-8md-d,b2b-69,6657604-1-8md-d-c61-936,md-D-Diesel-2018-Baseline,3191,-122.5791952039948,46.99964530187633,4426.0
6662107-1-9hdv-d,b2b-70,6662107-1-9hdv-d-c61-962,hdv-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,429.0
6663108-1-10md-d,b2b-71,6663108-1-10md-d-c61-988,md-D-Diesel-2018-Baseline,3416,-122.21630360283116,48.00291116896423,3416.0
6664884-4-11hdv-d,b2b-72,6664884-4-11hdv-d-c61-1052,hdv-D-Diesel-2018-Baseline,3854,-122.37360793834652,48.27142205789908,4499.0
6664884-4-11hdv-d,b2b-73,6664884-4-11hdv-d-c61-1053,hdv-D-Diesel-2018-Baseline,3854,-122.37360793834652,48.27142205789908,4499.0
6671665-1-12md-d,b2b-74,6671665-1-12md-d-c61-1080,md-D-Diesel-2018-Baseline,3887,-121.86486304384344,47.98252915617645,3887.0
6671668-3-13md-d,b2b-75,6671668-3-13md-d-c61-1081,md-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13md-d,b2b-76,6671668-3-13md-d-c61-1082,md-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13md-d,b2b-77,6671668-3-13md-d-c61-1122,md-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13md-d,b2b-78,6671668-3-13md-d-c61-1123,md-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13hdt-d,b2b-79,6671668-3-13hdt-d-c61-1255,hdt-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13hdv-d,b2b-80,6671668-3-13hdv-d-c61-1360,hdv-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-13hdv-d,b2b-81,6671668-3-13hdv-d-c61-1392,hdv-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6671668-3-14md-d,b2b-82,6671668-3-14md-d-c61-1435,md-D-Diesel-2018-Baseline,3543,-122.32288185426476,47.88691963575349,3543.0
6672964-4-15hdv-d,b2b-83,6672964-4-15hdv-d-c61-1526,hdv-D-Diesel-2018-Baseline,5885,-123.12937065688313,44.996098710739325,5425.0
