carrierId,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone
7477670-4-56hdv-d,b2b-3775,7477670-4-56hdv-d-c13-5233,hdv-D-Diesel-2018-Baseline,1731,-122.19679075303787,37.915436315961685,1731.0
7477691-4-57hdv-d,b2b-3776,7477691-4-57hdv-d-c13-5234,hdv-D-Diesel-2018-Baseline,1324,-121.66937376930372,38.09122059178913,6423.0
7477691-4-57hdv-d,b2b-3777,7477691-4-57hdv-d-c13-5263,hdv-D-Diesel-2018-Baseline,1324,-121.66937376930372,38.09122059178913,6423.0
7477734-3-58hdt-d,b2b-3778,7477734-3-58hdt-d-c13-5264,hdt-D-Diesel-2018-Baseline,8581,-121.70160421385155,37.01036217628002,8825.0
7477734-3-58hdt-d,b2b-3779,7477734-3-58hdt-d-c13-5293,hdt-D-Diesel-2018-Baseline,8581,-121.70160421385155,37.01036217628002,8825.0
753564-2-59md-d,b2b-3780,753564-2-59md-d-c13-5294,md-D-Diesel-2018-Baseline,1750,-121.90569708419504,37.81579855979132,1750.0
753564-2-59hdt-d,b2b-3781,753564-2-59hdt-d-c13-5431,hdt-D-Diesel-2018-Baseline,1750,-121.90569708419504,37.81579855979132,1750.0
753564-2-59hdv-d,b2b-3782,753564-2-59hdv-d-c13-5539,hdv-D-Diesel-2018-Baseline,1750,-121.90569708419504,37.81579855979132,1750.0
753564-2-60md-d,b2b-3783,753564-2-60md-d-c13-5569,md-D-Diesel-2018-Baseline,1750,-121.90569708419504,37.81579855979132,1750.0
758969-4-61hdv-d,b2b-3784,758969-4-61hdv-d-c13-5649,hdv-D-Diesel-2018-Baseline,1628,-122.05228402203991,37.89986592624238,1628.0
758969-4-61hdv-d,b2b-3785,758969-4-61hdv-d-c13-5650,hdv-D-Diesel-2018-Baseline,1628,-122.05228402203991,37.89986592624238,1628.0
758969-4-62hdv-d,b2b-3786,758969-4-62hdv-d-c13-5678,hdv-D-Diesel-2018-Baseline,1628,-122.05228402203991,37.89986592624238,1628.0
758969-4-62hdv-d,b2b-3787,758969-4-62hdv-d-c13-5679,hdv-D-Diesel-2018-Baseline,1628,-122.05228402203991,37.89986592624238,1628.0
758972-3-63hdt-d,b2b-3788,758972-3-63hdt-d-c13-5710,hdt-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758972-3-63hdt-d,b2b-3789,758972-3-63hdt-d-c13-5711,hdt-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758972-3-63hdt-d,b2b-3790,758972-3-63hdt-d-c13-5712,hdt-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758972-3-64hdt-d,b2b-3791,758972-3-64hdt-d-c13-5771,hdt-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758972-3-64hdt-d,b2b-3792,758972-3-64hdt-d-c13-5772,hdt-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758972-3-64hdv-d,b2b-3793,758972-3-64hdv-d-c13-5859,hdv-D-Diesel-2018-Baseline,1720,-122.12576621718615,37.8596083493474,1720.0
758973-1-65md-d,b2b-3794,758973-1-65md-d-c13-5860,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3795,758973-1-65md-d-c13-5861,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3796,758973-1-65md-d-c13-5862,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3797,758973-1-65md-d-c13-5864,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3798,758973-1-65md-d-c13-5889,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3799,758973-1-65md-d-c13-5890,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3800,758973-1-65md-d-c13-5891,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65md-d,b2b-3801,758973-1-65md-d-c13-5892,md-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758973-1-65hdt-d,b2b-3802,758973-1-65hdt-d-c13-5977,hdt-D-Diesel-2018-Baseline,1604,-122.0253582558985,37.90754329549098,1604.0
758974-3-66md-d,b2b-3803,758974-3-66md-d-c13-5978,md-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66md-d,b2b-3804,758974-3-66md-d-c13-6004,md-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66md-d,b2b-3805,758974-3-66md-d-c13-6005,md-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66md-d,b2b-3806,758974-3-66md-d-c13-6006,md-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdt-d,b2b-3807,758974-3-66hdt-d-c13-6145,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdt-d,b2b-3808,758974-3-66hdt-d-c13-6146,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdt-d,b2b-3809,758974-3-66hdt-d-c13-6147,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdt-d,b2b-3810,758974-3-66hdt-d-c13-6148,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdt-d,b2b-3811,758974-3-66hdt-d-c13-6149,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdv-d,b2b-3812,758974-3-66hdv-d-c13-6279,hdv-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-66hdv-d,b2b-3813,758974-3-66hdv-d-c13-6280,hdv-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-67hdt-d,b2b-3814,758974-3-67hdt-d-c13-6348,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-67hdt-d,b2b-3815,758974-3-67hdt-d-c13-6349,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-67hdt-d,b2b-3816,758974-3-67hdt-d-c13-6350,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-67hdt-d,b2b-3817,758974-3-67hdt-d-c13-6351,hdt-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758974-3-67hdv-d,b2b-3818,758974-3-67hdv-d-c13-6482,hdv-D-Diesel-2018-Baseline,1931,-122.31811467154962,37.92113935857588,1931.0
758977-3-68hdt-d,b2b-3819,758977-3-68hdt-d-c13-6546,hdt-D-Diesel-2018-Baseline,1699,-122.11918464338848,37.88880932131355,1699.0
758977-3-68hdt-d,b2b-3820,758977-3-68hdt-d-c13-6547,hdt-D-Diesel-2018-Baseline,1699,-122.11918464338848,37.88880932131355,1699.0
