payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
61-db2b0,0,b2b-0,mfr_goods,loading,3793,40800,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,391.90380768,delivery-only,
61-b2b57,1,b2b-0,mfr_goods,unloading,2384,48060,20100,86400,1200,-122.6400961648439,47.56677377108248,2384.0,4A0000,511120,130.63460256000002,delivery-only,private
61-b2b56,2,b2b-0,mfr_goods,unloading,3245,54780,35340,86400,960,-122.3092596518853,47.08641825459815,3245.0,4A0000,511120,130.63460256000002,delivery-only,private
61-b2b55,3,b2b-0,mfr_goods,unloading,940,62400,28200,86400,1020,-122.302859709431,47.732883660927726,940.0,812900,511120,130.63460256000002,delivery-only,private
61-db2b0-,4,b2b-0,mfr_goods,loading,3793,67800,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,0.0,delivery-only,
61-db2b1,0,b2b-1,mfr_goods,loading,3793,40800,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,262.17638986000003,delivery-only,
61-b2b60,1,b2b-1,mfr_goods,unloading,1158,46380,30000,86400,840,-122.32368583659222,47.64139473361398,1158.0,624100,511120,131.08819493000001,delivery-only,private
61-b2b59,2,b2b-1,mfr_goods,unloading,2060,49500,29400,86400,300,-122.31161107900664,47.2659363938446,2060.0,624100,511120,131.08819493000001,delivery-only,private
61-db2b1-,3,b2b-1,mfr_goods,loading,3793,58920,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,0.0,delivery-only,
61-db2b2,0,b2b-2,mfr_goods,loading,3793,40800,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,261.72279749,delivery-only,
61-b2b62,1,b2b-2,mfr_goods,unloading,2159,48840,34800,86400,840,-122.15621348585006,47.3956832531075,2159.0,523900,511120,131.08819493000001,delivery-only,private
61-b2b58,2,b2b-2,mfr_goods,unloading,2219,52380,36000,86400,1080,-122.05679758521268,47.61009758479406,2219.0,522A00,511120,130.63460256000002,delivery-only,private
61-db2b2-,3,b2b-2,mfr_goods,loading,3793,58920,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,0.0,delivery-only,
61-db2b3,0,b2b-3,mfr_goods,loading,3793,48600,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,261.72279749,delivery-only,
61-b2b63,1,b2b-3,mfr_goods,unloading,2349,57180,36900,100800,1140,-121.18138116989397,47.6527538694421,34.0,624A00,511120,130.63460256000002,delivery-only,private
61-b2b61,2,b2b-3,mfr_goods,unloading,3181,69300,29940,100800,1080,-122.79042669700618,47.2126448710439,4278.0,624100,511120,131.08819493000001,delivery-only,private
61-db2b3-,3,b2b-3,mfr_goods,loading,3793,81120,0,0,0,-122.13558894552652,48.10914164516132,3793.0,,,0.0,delivery-only,
61-db2b4,0,b2b-4,mfr_goods,loading,3754,23640,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,916.2565874000001,delivery-only,
61-b2b52,1,b2b-4,mfr_goods,unloading,3417,28200,28200,86400,480,-122.19011047224772,48.015665824160365,3417.0,624100,511130,131.08819493000001,delivery-only,private
61-b2b47,2,b2b-4,mfr_goods,unloading,1754,34440,23760,86400,480,-122.21284739798804,47.46633653651625,1754.0,522A00,511130,131.08819493000001,delivery-only,private
61-b2b43,3,b2b-4,mfr_goods,unloading,2037,36240,34800,86400,600,-122.35720644231893,47.285605365039935,2037.0,813A00,511130,130.63460256000002,delivery-only,private
61-b2b53,4,b2b-4,mfr_goods,unloading,3066,38340,30000,86400,1080,-122.49372295211988,47.18347240601251,3066.0,611B00,511130,131.08819493000001,delivery-only,private
61-b2b46,5,b2b-4,mfr_goods,unloading,3046,40320,25200,86400,840,-122.40910335984584,47.11221331129462,3046.0,621300,511130,130.63460256000002,delivery-only,private
61-b2b42,6,b2b-4,mfr_goods,unloading,1883,44220,34980,86400,1080,-122.30792397800762,47.399913423805096,1883.0,4A0000,511130,130.63460256000002,delivery-only,private
61-b2b51,7,b2b-4,mfr_goods,unloading,2263,48000,37800,86400,420,-122.11608593071078,47.66569335685603,2263.0,48A000,511130,131.08819493000001,delivery-only,private
61-db2b4-,8,b2b-4,mfr_goods,loading,3754,50580,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,0.0,delivery-only,
61-db2b5,0,b2b-5,mfr_goods,loading,3754,22440,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,262.17638986000003,delivery-only,
61-b2b50,1,b2b-5,mfr_goods,unloading,3584,28260,21360,86400,600,-122.36188554544886,47.79702618666244,3584.0,522A00,511130,131.08819493000001,delivery-only,private
61-b2b48,2,b2b-5,mfr_goods,unloading,1754,32400,32400,86400,720,-122.2097377350462,47.46158838174832,1754.0,522A00,511130,131.08819493000001,delivery-only,private
61-db2b5-,3,b2b-5,mfr_goods,loading,3754,37560,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,0.0,delivery-only,
61-db2b6,0,b2b-6,mfr_goods,loading,3754,19980,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,261.72279749,delivery-only,
61-b2b44,1,b2b-6,mfr_goods,unloading,2037,29520,19440,86400,300,-122.35596644568793,47.28721104843176,2037.0,813A00,511130,130.63460256000002,delivery-only,private
61-b2b54,2,b2b-6,mfr_goods,unloading,3165,33600,33600,86400,840,-122.65643810061864,47.33946373951388,3165.0,813A00,511130,131.08819493000001,delivery-only,private
61-db2b6-,3,b2b-6,mfr_goods,loading,3754,41580,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,0.0,delivery-only,
61-db2b7,0,b2b-7,mfr_goods,loading,3754,26400,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,261.72279749,delivery-only,
61-b2b45,1,b2b-7,mfr_goods,unloading,2461,35220,35220,100800,1140,-123.01759075021316,47.52478459472021,2649.0,624100,511130,130.63460256000002,delivery-only,private
61-b2b49,2,b2b-7,mfr_goods,unloading,2386,40800,22500,100800,300,-122.5470330266441,47.89261841166224,880.0,611B00,511130,131.08819493000001,delivery-only,private
61-db2b7-,3,b2b-7,mfr_goods,loading,3754,45360,0,0,0,-121.97098440307524,47.85390012198362,3754.0,,,0.0,delivery-only,
61-db2b8,0,b2b-8,bulk,loading,3179,21600,0,0,0,-122.80400394373277,47.27276413599254,2658.0,,,23677.06812163,delivery-only,
61-b2b543,1,b2b-8,bulk,unloading,3807,32400,25140,86400,11100,-122.07517555316008,48.09400482244232,3807.0,230301,212310.0,23677.06812163,delivery-only,private
61-db2b8-,2,b2b-8,bulk,loading,3179,53400,0,0,0,-122.80400394373277,47.27276413599254,2658.0,,,0.0,delivery-only,
61-db2b9,0,b2b-9,bulk,loading,3179,25800,0,0,0,-122.80400394373277,47.27276413599254,2658.0,,,23677.06812163,delivery-only,
61-b2b544,1,b2b-9,bulk,unloading,3807,38400,38400,86400,8880,-122.11037643634413,48.086108163861375,3807.0,230301,212310.0,23677.06812163,delivery-only,private
61-db2b9-,2,b2b-9,bulk,loading,3179,57180,0,0,0,-122.80400394373277,47.27276413599254,2658.0,,,0.0,delivery-only,
61-db2b10,0,b2b-10,bulk,loading,3887,24000,0,0,0,-121.79937659737354,47.95832341518283,3887.0,,,23712.44832649,delivery-only,
61-b2b557,1,b2b-10,bulk,unloading,3902,31260,27600,86400,7320,-121.85254054529229,47.84072004576026,3902.0,230301,2123A0,23712.44832649,delivery-only,private
61-db2b10-,2,b2b-10,bulk,loading,3887,43620,0,0,0,-121.79937659737354,47.95832341518283,3887.0,,,0.0,delivery-only,
61-db2b11,0,b2b-11,bulk,loading,3458,40800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,23668.903458970002,delivery-only,
61-b2b546,1,b2b-11,bulk,unloading,2374,46860,24540,86400,8340,-122.7109749006128,47.55905487115762,2374.0,230301,212310.0,23668.903458970002,delivery-only,private
61-db2b11-,2,b2b-11,bulk,loading,3458,60360,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,0.0,delivery-only,
61-db2b12,0,b2b-12,bulk,loading,3458,40800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,23667.08908949,delivery-only,
61-b2b545,1,b2b-12,bulk,unloading,3439,42000,27000,86400,9840,-122.20909975760138,47.96612816276326,3439.0,230301,212310.0,23667.08908949,delivery-only,private
61-db2b12-,2,b2b-12,bulk,loading,3458,52260,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,0.0,delivery-only,
61-db2b13,0,b2b-13,bulk,loading,3458,40800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,23678.42889874,delivery-only,
61-b2b548,1,b2b-13,bulk,unloading,2115,49440,25800,86400,840,-122.05468887347504,47.22238182476907,2115.0,230301,212310.0,23678.42889874,delivery-only,private
61-db2b13-,2,b2b-13,bulk,loading,3458,57000,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,0.0,delivery-only,
61-db2b14,0,b2b-14,bulk,loading,3458,40800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,23684.32559955,delivery-only,
61-b2b550,1,b2b-14,bulk,unloading,2477,46860,38040,86400,780,-122.6082093591035,47.50951672386236,2477.0,230301,212310.0,23684.32559955,delivery-only,private
61-db2b14-,2,b2b-14,bulk,loading,3458,52800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,0.0,delivery-only,
61-db2b15,0,b2b-15,bulk,loading,3458,40800,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,23684.32559955,delivery-only,
61-b2b549,1,b2b-15,bulk,unloading,2477,46860,36780,86400,1680,-122.6051775818293,47.50871147868704,2477.0,230301,212310.0,23684.32559955,delivery-only,private
61-db2b15-,2,b2b-15,bulk,loading,3458,53700,0,0,0,-122.24588543728134,47.93895030691468,3458.0,,,0.0,delivery-only,
