payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,weightInKg
b2b-all-2353881-2-2hdt-d-0-4-61-b2b1898,8,b2b-all-2353881-2-2hdt-d-0-4,1,1,3653,46740,28200,86400,360,-122.25094654959474,47.79627171255856,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-4-61-b2b1897,9,b2b-all-2353881-2-2hdt-d-0-4,1,1,3653,47100,31860,86400,840,-122.25465028094465,47.80064958806546,130.63460256000002
b2b-all-2353881-2-2hdt-d-0-4-61-db2b4-,10,b2b-all-2353881-2-2hdt-d-0-4,1,1,3635,48480,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-1-5-61-db2b5,0,b2b-all-2353881-2-2hdt-d-1-5,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,524.3527797200001
b2b-all-2353881-2-2hdt-d-1-5-61-b2b1935,1,b2b-all-2353881-2-2hdt-d-1-5,1,1,3700,37560,25500,86400,1200,-122.20958235042328,47.854777457789474,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-5-61-b2b1936,2,b2b-all-2353881-2-2hdt-d-1-5,1,1,3700,38760,29700,86400,900,-122.20495662187206,47.85875468456617,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-5-61-b2b1937,3,b2b-all-2353881-2-2hdt-d-1-5,1,1,3700,39660,29760,86400,600,-122.20460726584167,47.858601449786384,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-5-61-b2b1938,4,b2b-all-2353881-2-2hdt-d-1-5,1,1,3700,40260,31560,86400,1140,-122.2099856383923,47.857351345934966,131.08819493000001
b2b-all-2353881-2-2hdt-d-1-5-61-db2b5-,5,b2b-all-2353881-2-2hdt-d-1-5,1,1,3635,42060,0,0,0,-122.27151814556706,47.86185642800624,0.0
b2b-all-2353881-2-2hdt-d-1-6-61-db2b6,0,b2b-all-2353881-2-2hdt-d-1-6,1,1,3635,35520,0,0,0,-122.27151814556706,47.86185642800624,917.61736451
b2b-all-2353881-2-2hdt-d-1-6-61-b2b1924,1,b2b-all-2353881-2-2hdt-d-1-6,1,1,1268,40080,27420,86400,660,-122.33639020204453,47.574338524154165,131.08819493000001
