payloadId,sequenceRank,tourId,payloadType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,activityType,fleetType,operationDurationInSecOG
b2b-108-0,0,b2b-108,mfr_goods,530610519252,36600,0,0,0,-122.20114996171796,47.79631305472134,530610519252.0,,,120.65557042,delivery-only,loading,,0
b2b-108-1,1,b2b-108,mfr_goods,530330067001,38940,36600,93600,540,-122.34036294748022,47.62828934830866,530330067001.0,621400,325414,96.16158244,delivery-only,unloading,private,540
b2b-108-2,2,b2b-108,mfr_goods,530330035002,42420,36600,93600,1020,-122.35388089847883,47.67424804071968,530330035002.0,621300,325414,24.49398798,delivery-only,unloading,private,1020
b2b-108-3,3,b2b-108,mfr_goods,530610519252,45000,0,0,0,-122.20114996171796,47.79631305472134,530610519252.0,,,0.0,delivery-only,loading,,0
b2b-109-0,0,b2b-109,mfr_goods,530610519252,36600,0,0,0,-122.20114996171796,47.79631305472134,530610519252.0,,,217.7243376,delivery-only,loading,,0
b2b-109-1,1,b2b-109,mfr_goods,530330240001,38640,36600,93600,720,-122.18937615213386,47.62283416888902,530330240001.0,621300,325414,24.49398798,delivery-only,unloading,private,720
b2b-109-2,2,b2b-109,mfr_goods,530530614003,39360,36600,93600,1140,-122.44354662809631,47.24791272432884,530530614003.0,621200,325414,24.04039561,delivery-only,unloading,private,1140
b2b-109-3,3,b2b-109,mfr_goods,530530725072,41340,36600,93600,300,-122.58695327179308,47.322645263645605,530530725072.0,621200,325414,24.04039561,delivery-only,unloading,private,300
b2b-109-4,4,b2b-109,mfr_goods,530530617001,43020,36600,93600,300,-122.44459311429694,47.23627167886534,530530617001.0,621300,325414,48.98797596,delivery-only,unloading,private,300
b2b-109-5,5,b2b-109,mfr_goods,530330303132,45480,36600,93600,1080,-122.32057260587142,47.29431082219095,530330303132.0,621400,325414,24.04039561,delivery-only,unloading,private,1080
