carrierId,level_0,tourId,vehicleId,vehicleTypeId,warehouseZone,warehouseX,warehouseY,mesoZone,distance
22123581-2050hdt-d,53726,b2b-53726,22123581-2050hdt-d-c53-185066,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,371.0,44.28620232271264
22123821-2064hdt-d,53743,b2b-53743,22123821-2064hdt-d-c53-185444,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,500.0,67.44226926525405
22123821-2064hdt-d,53744,b2b-53744,22123821-2064hdt-d-c53-185443,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,500.0,104.9380213565627
22123851-2066hdt-d,53746,b2b-53746,22123851-2066hdt-d-c53-185498,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,473.0,89.42439008266592
22123871-2068hdt-d,53750,b2b-53750,22123871-2068hdt-d-c53-185552,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,472.0,178.60023176533184
22123941-2070hdt-d,53752,b2b-53752,22123941-2070hdt-d-c53-185606,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,489.0,178.60023176533184
22124341-2084hdt-d,53764,b2b-53764,22124341-2084hdt-d-c53-185984,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,326.0,89.42439008266592
22124381-2086hdt-d,53766,b2b-53766,22124381-2086hdt-d-c53-186038,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,310.0,78.26814908570967
22124431-2087hdt-d,53767,b2b-53767,22124431-2087hdt-d-c53-186065,hdt-D-Diesel-2018-Baseline,3248,-122.22687900228613,46.7689413928168,538.0,96.1356349649152
22124831-2103hdt-d,53788,b2b-53788,22124831-2103hdt-d-c53-186497,hdt-D-Diesel-2018-Baseline,2349,-121.2112825642717,47.64375868029919,9.0,168.22997131877824
22126051-2149hdt-d,53841,b2b-53841,22126051-2149hdt-d-c53-187771,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4051.0,240.80626727753395
22126061-2150hdt-d,53843,b2b-53843,22126061-2150hdt-d-c53-187828,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4232.0,240.26658712154017
22126151-2155hdt-d,53849,b2b-53849,22126151-2155hdt-d-c53-187973,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4176.0,253.38675961194724
22126161-2156hdt-d,53850,b2b-53850,22126161-2156hdt-d-c53-188002,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4118.0,240.6471115602456
22126241-2160hdt-d,53856,b2b-53856,22126241-2160hdt-d-c53-188090,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4235.0,251.98730471247728
22126361-2167hdt-d,53866,b2b-53866,22126361-2167hdt-d-c53-188321,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,3939.0,253.18020844762864
22126511-2172hdt-d,53871,b2b-53871,22126511-2172hdt-d-c53-188466,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4209.0,251.2910640527028
22126701-2179hdt-d,53881,b2b-53881,22126701-2179hdt-d-c53-188663,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4483.0,449.2186421631313
22126861-2195hdt-d,53911,b2b-53911,22126861-2195hdt-d-c53-189095,hdt-D-Diesel-2018-Baseline,3860,-122.18201315878572,48.25233607153138,4536.0,253.0877424586406
22126941-2203hdt-d,53924,b2b-53924,22126941-2203hdt-d-c53-189310,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4549.0,210.7268462935008
22127001-2209hdt-d,53936,b2b-53936,22127001-2209hdt-d-c53-189473,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4489.0,439.4379089664535
22127041-2213hdt-d,53944,b2b-53944,22127041-2213hdt-d-c53-189581,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4497.0,244.6847150939552
22127061-2215hdt-d,53948,b2b-53948,22127061-2215hdt-d-c53-189635,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4548.0,237.56666075546903
22127061-2215hdt-d,53949,b2b-53949,22127061-2215hdt-d-c53-189633,hdt-D-Diesel-2018-Baseline,3854,-122.37796669465752,48.27166772354568,4548.0,187.68596852231272
22127151-2221hdt-d,53959,b2b-53959,22127151-2221hdt-d-c53-189797,hdt-D-Diesel-2018-Baseline,3895,-121.41045972046028,48.1863463367089,4602.0,240.26658712154017
22139201-2249hdt-d,53988,b2b-53988,22139201-2249hdt-d-c53-190565,hdt-D-Diesel-2018-Baseline,2349,-121.2112825642717,47.64375868029919,20128.0,163.1990524399907
22142591-2264hdt-d,54003,b2b-54003,22142591-2264hdt-d-c53-190998,hdt-D-Diesel-2018-Baseline,2912,-121.57154802106145,47.06787442561271,20009.0,96.93446827154985
