taz,parkingType,chargingPointType,housingType,propertyType,county,locationX,locationY,parkingZoneId,reservedFor,pricingModel,feeInCents,numStalls,timeRestrictions
,Public,NoCharger,non-res,,,-122.3534656,47.61737854,517594,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3423118,47.61335745,517615,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3421083,47.61182871,517620,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3511954,47.61741919,517626,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3554967,47.62414849,517632,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.347583,47.61390123,517643,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3194612,47.62010656,517649,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3393932,47.6080074,517676,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3360399,47.60629554,517681,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3605549,47.62360472,517682,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3553504,47.62072709,517691,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3423554,47.61101088,517736,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.316741,47.61553976,517748,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3301865,47.60030075,517749,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3343252,47.59776129,517778,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3327682,47.60240565,517794,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3167475,47.61594673,517798,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3499434,47.61529813,517803,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3395646,47.60846577,517809,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3607075,47.62431146,517843,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3340579,47.59744458,517850,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.344439,47.61205768,517867,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3385613,47.60706135,517869,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3474581,47.61382748,517878,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3194691,47.62060448,517889,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3344447,47.60592777,517912,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3442126,47.61307869,517920,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3472792,47.61490676,517927,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3491741,47.61622382,517928,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.319486,47.61235858,517930,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3467312,47.61457315,517934,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3553373,47.62231629,517950,Any,Block,0,1,
,Commercial,NoCharger,non-res,,,-122.3378452,47.60795608,517963,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3494431,47.61755891,517965,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3515465,47.61741553,517976,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3127125,47.62350669,517980,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3320968,47.60368853,517995,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3168971,47.61237184,518053,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3594002,47.62388033,518085,Any,Block,0,1,
,Public,NoCharger,non-res,,,-122.3475157,47.61406887,518125,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3301132,47.59985099,518133,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3400302,47.61178266,518216,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3355418,47.60745028,518244,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3509452,47.61589065,518316,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3441321,47.61323866,518330,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3521164,47.61773432,518358,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3457971,47.61422475,518364,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.335734,47.6073425,518381,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3143251,47.61461523,518412,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194683,47.62055387,518415,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3399693,47.61174665,518419,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3383584,47.61025048,518455,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3303467,47.60150723,518479,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3401254,47.61183894,518515,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194605,47.62006279,518520,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3314569,47.59897436,518521,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3419082,47.61310424,518557,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3355168,47.60572885,518571,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.335139,47.60366972,518574,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3348005,47.60494578,518591,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3529022,47.62499577,518595,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3399379,47.61056651,518613,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3555011,47.62360881,518621,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3340691,47.59848288,518653,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3441045,47.61301473,518654,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3593865,47.62301507,518663,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3456221,47.61295025,518666,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3454342,47.61401577,518671,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3503895,47.61791806,518672,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3343259,47.59672229,518695,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3529205,47.62061841,518707,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3555026,47.62342801,518717,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3127313,47.62176727,518720,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194722,47.62080556,518725,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3493011,47.61609865,518735,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3529009,47.62514621,518760,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3169483,47.61351077,518768,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3379764,47.60809945,518775,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3342958,47.60069757,518786,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.351714,47.61656349,518798,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194745,47.62094646,518811,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3605649,47.62278565,518838,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.352204,47.61778612,518914,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3494174,47.61519468,518925,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3192995,47.6125977,518931,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3323078,47.60221466,518950,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3529412,47.61905388,518972,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3553606,47.6194804,518973,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3594236,47.62075523,518978,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3314382,47.60077367,519007,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3392872,47.6095428,519031,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3169788,47.61387322,519045,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3314568,47.5990058,519046,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.316961,47.61560519,519049,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194738,47.62090268,519051,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3435288,47.61172342,519080,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3169606,47.61429853,519114,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3169712,47.61624404,519117,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3526678,47.6248964,519129,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3340671,47.59903102,519130,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.344879,47.61348727,519133,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.33425,47.60434388,519161,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194619,47.62015033,519163,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3593957,47.62170286,519175,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3605759,47.6212659,519176,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3415107,47.61169569,519184,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3527019,47.62057921,519215,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3555021,47.6234828,519239,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3405521,47.60927428,519243,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3343076,47.59864458,519244,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194646,47.62032132,519260,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3439735,47.61293726,519292,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3526682,47.6248458,519314,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3553359,47.62248867,519319,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3460404,47.61299735,519321,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3431673,47.61150949,519330,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3337836,47.60352112,519342,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.33485,47.60304355,519343,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3387577,47.60758356,519346,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3434801,47.6128531,519356,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3143213,47.61437588,519379,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3355843,47.60550561,519391,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3401105,47.60907302,519393,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3401548,47.61080358,519408,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3329346,47.60459967,519424,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3338694,47.60392776,519445,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3605756,47.62132059,519449,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3484481,47.61559057,519460,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3342853,47.60133436,519470,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3354556,47.60370339,519473,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3301655,47.60119396,519478,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3143275,47.61476842,519514,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3167439,47.61572307,519549,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3382956,47.61018186,519560,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3316892,47.59858446,519597,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3448101,47.61364679,519626,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3366976,47.60671734,519639,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3431113,47.61126868,519650,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3553464,47.62121355,519651,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3316805,47.60153333,519694,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3490981,47.6150059,519714,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3431507,47.61362764,519717,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3397401,47.60838669,519734,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3321395,47.60373514,519751,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3450502,47.61474701,519756,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3322317,47.6021314,519787,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3169661,47.61464603,519801,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.31933,47.61377477,519810,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3407341,47.61123635,519815,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3415369,47.61033406,519851,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.334325,47.59811767,519890,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3553617,47.61935175,519895,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.345442,47.61519315,519896,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3379193,47.60803709,519912,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3193309,47.61385833,519923,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194653,47.62036783,519957,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3482137,47.61447927,519962,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3316889,47.59868835,519966,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3449707,47.61237201,519997,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3335508,47.60357413,520012,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3429664,47.61118293,520031,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3168932,47.60980946,520035,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3527049,47.62021873,520068,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3383423,47.60881738,520076,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3485467,47.61702905,520079,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.330926,47.6003966,520100,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3394532,47.60972422,520101,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3375389,47.60793916,520102,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3167296,47.61507533,520115,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3413432,47.61159662,520124,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3494735,47.61502756,520147,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3424337,47.61342951,520150,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3441879,47.61423724,520157,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3391265,47.60798685,520158,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3391872,47.60943348,520160,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3371976,47.60560781,520167,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3464146,47.61557212,520181,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3592673,47.62000643,520204,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3351553,47.60533374,520223,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3435643,47.61153677,520299,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3301952,47.60019686,520311,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3195564,47.61459601,520341,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3483241,47.61670084,520342,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3386878,47.60919499,520351,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3464289,47.61459251,520384,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3592667,47.62008029,520392,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3428377,47.6124786,520430,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3316894,47.59852978,520449,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3396501,47.60828823,520485,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3167242,47.613599,520488,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3454928,47.61267345,520526,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3363254,47.60496725,520535,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3457052,47.61513385,520537,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3516439,47.61652214,520552,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3386451,47.60914838,520560,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3301597,47.60062063,520561,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3481451,47.61443871,520563,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3397927,47.61009521,520595,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3316977,47.60074104,520623,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3193243,47.61324055,520627,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.34191,47.61074738,520640,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3423112,47.61079529,520642,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3344512,47.60425647,520653,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3329184,47.60288772,520663,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3555015,47.62355402,520675,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3168934,47.60859334,520695,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.348375,47.61436706,520708,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3592911,47.62159836,520721,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3377748,47.60787915,520723,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.344389,47.61222111,520727,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3195539,47.61385999,520731,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3365056,47.60485158,520733,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3195482,47.61332851,520747,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3421327,47.61068971,520769,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3404861,47.61226341,520813,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3128081,47.61945135,520847,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3555113,47.62186234,520868,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3327302,47.60268195,520871,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3526651,47.6252219,520895,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3195211,47.61276518,520917,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3554977,47.62402521,520937,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3422281,47.61189954,520940,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3343545,47.6041507,520977,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3309623,47.60073552,520990,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3194675,47.62050736,521039,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3430151,47.61354747,521041,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3195572,47.61464799,521044,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3360232,47.60596979,521058,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3303484,47.60106994,521064,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3547808,47.61835768,521101,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3438164,47.61401761,521127,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3464989,47.61581857,521137,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3475284,47.61642709,521157,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3127189,47.62247649,521195,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3495438,47.61761844,521232,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3455387,47.61525028,521254,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3494943,47.61621293,521273,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3412437,47.61003022,521330,Any,Block,0,0,
,Commercial,NoCharger,non-res,,,-122.3338336,47.60357591,521340,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3385338,47.60733877,521341,Any,Block,0,0,
,Public,NoCharger,non-res,,,-122.3388658,47.60907699,521345,Any,Block,0,0,
