tourId,departureTimeInSec,departureLocationZone,maxTourDurationInSec,departureLocationX,departureLocationY,mesoZone
b2b-57821,25200,3004,43200,-122.34934783418198,47.11320575775653,3004.0
b2b-57814,32400,3004,43200,-122.34934783418198,47.11320575775653,3004.0
b2b-6183,31200,3205,43200,-122.3834825564397,46.88687391044784,6167.0
b2b-52047,31080,3161,43200,-122.60502086181272,47.24294890841031,3161.0
b2b-35354,49800,3249,43200,-122.20981561308568,46.79960290846447,20010.0
b2b-61523,30300,1983,43200,-122.28566746712,47.32395792776957,1983.0
b2b-4705,38400,3249,43200,-122.20981561308568,46.79960290846447,20012.0
b2b-8007,40800,2128,43200,-121.47570027834682,47.10458526658929,20015.0
b2b-13189,28200,1329,43200,-122.3770623932933,47.55785427364237,1329.0
b2b-42324,29280,1267,43200,-122.33067741213732,47.592927936665,1267.0
b2b-20753,49200,1454,43200,-122.31992860210757,47.73848705140416,1454.0
b2b-47243,49800,1532,43200,-122.21112627582282,47.70556709942274,1532.0
b2b-43001,19800,3895,43200,-121.41045972046028,48.1863463367089,4159.0
b2b-35737,42000,2128,43200,-121.47570027834682,47.10458526658929,20015.0
b2b-9102,32400,2145,43200,-122.1381864090764,47.376348678543096,2145.0
b2b-25875,30600,3249,43200,-122.20981561308568,46.79960290846447,20012.0
b2b-15616,32520,1125,43200,-122.34064313232707,47.64503124723126,1125.0
b2b-48929,34800,3277,43200,-122.27996036957444,47.25401339879432,3277.0
b2b-9472,23400,2128,43200,-121.47570027834682,47.10458526658929,104.0
b2b-59095,43200,3895,43200,-121.41045972046028,48.1863463367089,4195.0
b2b-34152,37800,3248,43200,-122.22687900228613,46.7689413928168,6149.0
b2b-46822,24600,3248,43200,-122.22687900228613,46.7689413928168,4907.0
b2b-12482,27600,1636,43200,-122.19211544284688,47.61129171225501,1636.0
b2b-51599,31200,3249,43200,-122.20981561308568,46.79960290846447,20012.0
b2b-29301,31200,2128,43200,-121.47570027834682,47.10458526658929,20033.0
b2b-50661,26400,3141,43200,-122.52037089820392,47.20364854761705,3141.0
b2b-15524,34800,1537,43200,-122.25795855017172,47.7052754678448,1537.0
b2b-3615,25800,2912,43200,-121.57154802106145,47.06787442561271,20009.0
b2b-48938,32400,3248,43200,-122.22687900228613,46.7689413928168,4922.0
b2b-17884,35400,1224,43200,-122.31222135712412,47.61623712375666,1224.0
b2b-15157,26400,1517,43200,-122.26671390849752,47.73697090582182,1517.0
b2b-42852,33600,3496,43200,-122.21759304097849,47.90890087901267,3496.0
b2b-54914,19800,3248,43200,-122.22687900228613,46.7689413928168,5189.0
b2b-32116,48000,3877,43200,-122.140218208301,48.16625693210526,3877.0
b2b-37333,32460,1810,43200,-122.32734905748936,47.474873117492535,1810.0
b2b-2245,34200,3713,43200,-122.13849973803693,47.892581934996734,3713.0
b2b-25230,41400,2912,43200,-121.57154802106145,47.06787442561271,20009.0
b2b-8606,34200,1154,43200,-122.35942219033974,47.64934174304082,1154.0
b2b-37969,32400,3673,43200,-122.22237414321664,47.84138050698631,3673.0
b2b-16458,29400,2051,43200,-122.31841876716632,47.31258104036328,2051.0
b2b-24988,32400,3854,43200,-122.37796669465752,48.27166772354568,3376.0
b2b-49058,28680,2995,43200,-122.4105972571759,47.14440020019423,2995.0
b2b-20129,46200,3205,43200,-122.3834825564397,46.88687391044784,634.0
