payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
grocery_19,0,ridehail-19,others,loading,15,29400,25200,79200,1080,-122.2650387,37.841765,15.0,,,2.7215542200000002,pickup-delivery,
grocery_19,1,ridehail-19,others,unloading,23,30565,25200,79200,540,-122.27873699506448,37.840584263255394,23.0,,,2.7215542200000002,pickup-delivery,
grocery_20,0,ridehail-20,others,loading,378,33600,25200,79200,960,-122.2966318,37.8814244,378.0,,,1.81436948,pickup-delivery,
grocery_20,1,ridehail-20,others,unloading,26,35018,25200,79200,240,-122.2759285221272,37.83470105804836,26.0,,,1.81436948,pickup-delivery,
grocery_21,0,ridehail-21,others,loading,220,55200,25200,79200,360,-122.214155,37.776427,220.0,,,4.082331330000001,pickup-delivery,
grocery_21,1,ridehail-21,others,unloading,32,56017,25200,79200,300,-122.2625550484504,37.82852969270196,32.0,,,4.082331330000001,pickup-delivery,
grocery_22,0,ridehail-22,others,loading,146,51600,25200,79200,1140,-122.2494702,37.7924076,146.0,,,4.082331330000001,pickup-delivery,
grocery_22,1,ridehail-22,others,unloading,34,53074,25200,79200,420,-122.26506401398592,37.83480146703969,34.0,,,4.082331330000001,pickup-delivery,
grocery_23,0,ridehail-23,others,loading,218,36600,25200,79200,360,-122.21632,37.779058,218.0,,,2.7215542200000002,pickup-delivery,
grocery_23,1,ridehail-23,others,unloading,37,37367,25200,79200,540,-122.26099478384612,37.82320674000231,37.0,,,2.7215542200000002,pickup-delivery,
grocery_24,0,ridehail-24,others,loading,297,39000,25200,79200,1080,-122.172187,37.746041,297.0,,,3.17514659,pickup-delivery,
grocery_24,1,ridehail-24,others,unloading,39,40889,25200,79200,540,-122.27123568412011,37.81361022680501,39.0,,,3.17514659,pickup-delivery,
grocery_25,0,ridehail-25,others,loading,177,55800,25200,79200,1140,-122.23431,37.784633,177.0,,,0.45359237,pickup-delivery,
grocery_25,1,ridehail-25,others,unloading,39,57213,25200,79200,420,-122.27236538746058,37.81373788530989,39.0,,,0.45359237,pickup-delivery,
grocery_26,0,ridehail-26,others,loading,285,46800,25200,79200,420,-122.1840754,37.7368958,285.0,,,4.082331330000001,pickup-delivery,
grocery_26,1,ridehail-26,others,unloading,42,47863,25200,79200,180,-122.27268661235205,37.82022188218544,42.0,,,4.082331330000001,pickup-delivery,
grocery_27,0,ridehail-27,others,loading,55,29400,25200,79200,900,-122.2946009,37.8065035,55.0,,,0.45359237,pickup-delivery,
grocery_27,1,ridehail-27,others,unloading,42,30475,25200,79200,240,-122.27352486879188,37.82275154434187,42.0,,,0.45359237,pickup-delivery,
grocery_28,0,ridehail-28,others,loading,1788,31800,25200,79200,720,-122.265629,38.029671,1788.0,,,3.62873896,pickup-delivery,
grocery_28,1,ridehail-28,others,unloading,43,34280,25200,79200,420,-122.27129874414663,37.81707976588394,43.0,,,3.62873896,pickup-delivery,
grocery_29,0,ridehail-29,others,loading,481,42600,25200,79200,360,-122.264389,37.774533,481.0,,,1.81436948,pickup-delivery,
grocery_29,1,ridehail-29,others,unloading,43,43284,25200,79200,180,-122.27363682021009,37.81604191802441,43.0,,,1.81436948,pickup-delivery,
grocery_30,0,ridehail-30,others,loading,53,37200,25200,79200,1020,-122.3012862,37.8069239,53.0,,,2.7215542200000002,pickup-delivery,
grocery_30,1,ridehail-30,others,unloading,43,38398,25200,79200,420,-122.27326643574612,37.81363815362582,43.0,,,2.7215542200000002,pickup-delivery,
grocery_31,0,ridehail-31,others,loading,102,49800,25200,79200,480,-122.2364548,37.840798,102.0,,,2.7215542200000002,pickup-delivery,
grocery_31,1,ridehail-31,others,unloading,45,50685,25200,79200,180,-122.27753433807952,37.82210676431145,45.0,,,2.7215542200000002,pickup-delivery,
grocery_32,0,ridehail-32,others,loading,225,65400,25200,79200,600,-122.2072928,37.7684619,225.0,,,1.81436948,pickup-delivery,
grocery_32,1,ridehail-32,others,unloading,46,66494,25200,79200,120,-122.28478352727002,37.820978137475976,46.0,,,1.81436948,pickup-delivery,
grocery_33,0,ridehail-33,others,loading,22,42000,25200,79200,960,-122.2831318,37.8423669,22.0,,,0.0,pickup-delivery,
grocery_33,1,ridehail-33,others,loading,46,43149,25200,79200,480,-122.28306543484852,37.82165269667403,46.0,,,0.0,pickup-delivery,
grocery_34,0,ridehail-34,others,loading,16,49200,25200,79200,360,-122.2773136,37.8473478,16.0,,,0.45359237,pickup-delivery,
grocery_34,1,ridehail-34,others,unloading,49,49726,25200,79200,300,-122.2905169061488,37.82927378534615,49.0,,,0.45359237,pickup-delivery,
grocery_35,0,ridehail-35,others,loading,77,61200,25200,79200,480,-122.261382,37.817475,77.0,,,3.62873896,pickup-delivery,
grocery_35,1,ridehail-35,others,unloading,50,61926,25200,79200,540,-122.3021589480619,37.81301084154083,50.0,,,3.62873896,pickup-delivery,
grocery_36,0,ridehail-36,others,loading,63,37200,25200,79200,1020,-122.2781387,37.8093435,63.0,,,0.0,pickup-delivery,
grocery_36,1,ridehail-36,others,loading,54,38286,25200,79200,480,-122.29139109384452,37.81427116494531,54.0,,,0.0,pickup-delivery,
grocery_37,0,ridehail-37,others,loading,332,35400,25200,79200,1140,-122.1670836,37.7431076,332.0,,,3.62873896,pickup-delivery,
grocery_37,1,ridehail-37,others,unloading,56,37380,25200,79200,240,-122.2917823211576,37.80266388182659,56.0,,,3.62873896,pickup-delivery,
grocery_38,0,ridehail-38,others,loading,170,45600,25200,79200,1020,-122.2303397,37.7756032,170.0,,,0.45359237,pickup-delivery,
grocery_38,1,ridehail-38,others,unloading,56,46963,25200,79200,300,-122.30425657816296,37.80664652633217,56.0,,,0.45359237,pickup-delivery,
grocery_39,0,ridehail-39,others,loading,333,44400,25200,79200,300,-122.288325,37.804695,333.0,,,4.082331330000001,pickup-delivery,
grocery_39,1,ridehail-39,others,unloading,56,44798,25200,79200,420,-122.30140655264734,37.80617236696221,56.0,,,4.082331330000001,pickup-delivery,
grocery_40,0,ridehail-40,others,loading,181,46200,25200,79200,660,-122.220463,37.790173,181.0,,,4.082331330000001,pickup-delivery,
grocery_40,1,ridehail-40,others,unloading,57,47220,25200,79200,300,-122.28001148836417,37.81154019449344,57.0,,,4.082331330000001,pickup-delivery,
grocery_41,0,ridehail-41,others,loading,329,49800,25200,79200,300,-122.16988,37.744256,329.0,,,0.0,pickup-delivery,
