"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",0.247769936571028
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",0.247769936571028
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",0.277561168028947
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",0.287257887180244
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",0.289757299863689
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",0.283691206485195
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",0.288654881774846
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",0.288654881774846
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",0.274358534879424
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",0.283428363430582
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",0.304966416810362
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",0.320437858395259
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",0.351255318900487
"(5, 10]","(-20, -19]","(25850.34, 26303.855]",0.351255318900487
"(5, 10]","(-20, -19]","(26303.855, 26757.37]",0.3477528310488
"(5, 10]","(-20, -19]","(26757.37, 27210.884]",0.3477528310488
"(5, 10]","(-20, -19]","(27210.884, 27664.399]",0.316340776802647
"(5, 10]","(-20, -19]","(27664.399, 28117.914]",0.318916471582771
"(5, 10]","(-20, -19]","(28117.914, 28571.429]",0.318916471582771
"(5, 10]","(-20, -19]","(28571.429, 29024.943]",0.318916471582771
"(5, 10]","(-20, -19]","(29024.943, 29478.458]",0.318916471582771
"(5, 10]","(-20, -19]","(29478.458, 29931.973]",0.318916471582771
"(5, 10]","(-20, -19]","(29931.973, 30385.488]",0.316689423205674
"(5, 10]","(-20, -19]","(30385.488, 30839.002]",0.316689423205674
"(5, 10]","(-20, -19]","(30839.002, 31292.517]",0.316689423205674
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",0.310105517834141
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",0.31095425773503
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",0.315272191260934
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",0.337723431657
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",0.336601903316085
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",0.337290663228661
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",0.334899419245849
