"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(0, 5]","(-20, -19]","(11337.868, 11791.383]",-0.518754977068845
"(0, 5]","(-20, -19]","(11791.383, 12244.898]",-0.518754977068845
"(0, 5]","(-20, -19]","(12244.898, 12698.413]",-0.518754977068845
"(0, 5]","(-20, -19]","(12698.413, 13151.927]",-0.518754977068845
"(0, 5]","(-20, -19]","(13151.927, 13605.442]",-0.518754977068845
"(0, 5]","(-20, -19]","(13605.442, 14058.957]",-0.518754977068845
"(0, 5]","(-20, -19]","(14058.957, 14512.472]",-0.518754977068845
"(0, 5]","(-20, -19]","(14512.472, 14965.986]",-0.518754977068845
"(0, 5]","(-20, -19]","(14965.986, 15419.501]",-0.518754977068845
"(0, 5]","(-20, -19]","(15419.501, 15873.016]",-0.518754977068845
"(0, 5]","(-20, -19]","(15873.016, 16326.531]",-0.518754977068845
"(0, 5]","(-20, -19]","(16326.531, 16780.045]",-0.518754977068845
"(0, 5]","(-20, -19]","(16780.045, 17233.56]",-0.518754977068845
"(0, 5]","(-20, -19]","(17233.56, 17687.075]",-0.106368370862626
"(0, 5]","(-20, -19]","(17687.075, 18140.59]",-0.106368370862626
"(0, 5]","(-20, -19]","(18140.59, 18594.104]",-0.106368370862626
"(0, 5]","(-20, -19]","(18594.104, 19047.619]",-0.106368370862626
"(0, 5]","(-20, -19]","(19047.619, 19501.134]",-1.05296048185788
"(0, 5]","(-20, -19]","(19501.134, 19954.649]",-1.05296048185788
"(0, 5]","(-20, -19]","(19954.649, 20408.163]",-1.05296048185788
"(0, 5]","(-20, -19]","(20408.163, 20861.678]",-1.05296048185788
"(0, 5]","(-20, -19]","(20861.678, 21315.193]",-1.05296048185788
"(0, 5]","(-20, -19]","(21315.193, 21768.707]",-1.05296048185788
"(0, 5]","(-20, -19]","(21768.707, 22222.222]",-1.05296048185788
"(0, 5]","(-20, -19]","(22222.222, 22675.737]",-1.05296048185788
"(0, 5]","(-20, -19]","(22675.737, 23129.252]",-1.89981222170446
"(0, 5]","(-20, -19]","(23129.252, 23582.766]",-1.89981222170446
"(0, 5]","(-20, -19]","(23582.766, 24036.281]",-1.89981222170446
"(0, 5]","(-20, -19]","(24036.281, 24489.796]",-1.89981222170446
"(0, 5]","(-20, -19]","(24489.796, 24943.311]",-1.89981222170446
"(0, 5]","(-20, -19]","(24943.311, 25396.825]",-1.89981222170446
"(0, 5]","(-20, -19]","(25396.825, 25850.34]",-1.89981222170446
"(0, 5]","(-20, -19]","(25850.34, 26303.855]",-1.89981222170446
"(0, 5]","(-20, -19]","(26303.855, 26757.37]",-1.89981222170446
"(0, 5]","(-20, -19]","(26757.37, 27210.884]",-1.89981222170446
"(0, 5]","(-20, -19]","(27210.884, 27664.399]",-1.89981222170446
"(0, 5]","(-20, -19]","(27664.399, 28117.914]",-3.04175839409967
"(0, 5]","(-20, -19]","(28117.914, 28571.429]",-3.7350245190785
"(0, 5]","(-20, -19]","(28571.429, 29024.943]",-4.44259869703624
"(0, 5]","(-20, -19]","(29024.943, 29478.458]",-4.44259869703624
"(0, 5]","(-20, -19]","(29478.458, 29931.973]",-4.44259869703624
"(0, 5]","(-20, -19]","(29931.973, 30385.488]",-4.44259869703624
"(0, 5]","(-20, -19]","(30385.488, 30839.002]",-4.44259869703624
"(0, 5]","(-20, -19]","(30839.002, 31292.517]",-4.44259869703624
"(0, 5]","(-20, -19]","(31292.517, 31746.032]",-4.44259869703624
