"speed_mph_float_bins","grade_percent_float_bins","mass_kg_float_bins","rate"
"(5, 10]","(-20, -19]","(19954.649, 20408.163]",0.134509133204528
"(5, 10]","(-20, -19]","(20408.163, 20861.678]",0.147155867224511
"(5, 10]","(-20, -19]","(20861.678, 21315.193]",0.149090511898546
"(5, 10]","(-20, -19]","(21315.193, 21768.707]",0.155945217276623
"(5, 10]","(-20, -19]","(21768.707, 22222.222]",0.185889081638912
"(5, 10]","(-20, -19]","(22222.222, 22675.737]",0.190333901049332
"(5, 10]","(-20, -19]","(22675.737, 23129.252]",0.201558279256829
"(5, 10]","(-20, -19]","(23129.252, 23582.766]",0.205515636952044
"(5, 10]","(-20, -19]","(23582.766, 24036.281]",0.199540871500516
"(5, 10]","(-20, -19]","(24036.281, 24489.796]",0.199540871500516
"(5, 10]","(-20, -19]","(24489.796, 24943.311]",0.199540871500516
"(5, 10]","(-20, -19]","(24943.311, 25396.825]",0.209711519897145
"(5, 10]","(-20, -19]","(25396.825, 25850.34]",0.23610804466914
"(5, 10]","(-20, -19]","(25850.34, 26303.855]",0.23610804466914
"(5, 10]","(-20, -19]","(26303.855, 26757.37]",0.23610804466914
"(5, 10]","(-20, -19]","(26757.37, 27210.884]",0.233053225360656
"(5, 10]","(-20, -19]","(27210.884, 27664.399]",0.191091785501262
"(5, 10]","(-20, -19]","(27664.399, 28117.914]",0.191091785501262
"(5, 10]","(-20, -19]","(28117.914, 28571.429]",0.196705443719701
"(5, 10]","(-20, -19]","(28571.429, 29024.943]",0.196705443719701
"(5, 10]","(-20, -19]","(29024.943, 29478.458]",0.196705443719701
"(5, 10]","(-20, -19]","(29478.458, 29931.973]",0.196705443719701
"(5, 10]","(-20, -19]","(29931.973, 30385.488]",0.196705443719701
"(5, 10]","(-20, -19]","(30385.488, 30839.002]",0.196705443719701
"(5, 10]","(-20, -19]","(30839.002, 31292.517]",0.196705443719701
"(5, 10]","(-20, -19]","(31292.517, 31746.032]",0.196705443719701
"(5, 10]","(-20, -19]","(31746.032, 32199.546]",0.196705443719701
"(5, 10]","(-20, -19]","(32199.546, 32653.061]",0.196705443719701
"(5, 10]","(-20, -19]","(32653.061, 33106.576]",0.196705443719701
"(5, 10]","(-20, -19]","(33106.576, 33560.091]",0.196705443719701
"(5, 10]","(-20, -19]","(33560.091, 34013.605]",0.192388627144944
"(5, 10]","(-20, -19]","(34013.605, 34467.12]",0.17898263488592
