carrierId,tourId,vehicleId,vehicleTypeId,depotZone,depotX,depotY,mesoZone,vehicleTypeIdOrig,vehicleIdOrig
6416245-1-mdv,b2b-7,ft-834588,ft-mdv-Dsl,530610526052,-122.06322849429576,48.01513820994098,530610526052.0,mdv_D_Diesel,b2b--c61-29
7371482-1-mdv,b2b-32,ft-c2cf73,ft-mdv-Dsl,530610420051,-122.28663734640858,47.88738889900218,530610420051.0,mdv_D_Diesel,b2b--c61-137
6419131-1-mdv,b2b-37,ft-8564ee,ft-mdv-Dsl,530610525022,-122.1051607329775,47.932622768102526,530610525022.0,mdv_D_Diesel,b2b--c61-178
6433377-1-mdv,b2b-49,ft-70812a,ft-mdv-Gas,530530729061,-122.722177527917,47.06726163014591,530670108005.0,mdv_G_Gasoline,b2b--c61-206
7455455-1-mdv,b2b-57,ft-351983,ft-mdv-Gas,530530732003,-122.722177527917,47.06726163014591,530110415002.0,mdv_G_Gasoline,b2b--c61-236
6407918-1-mdv,b2b-66,ft-0dd0ee,ft-mdv-Gas,530610510001,-122.3275748357528,47.79710021288178,530610510001.0,mdv_G_Gasoline,b2b--c61-239
7456306-1-mdv,b2b-82,ft-c03231,ft-mdv-Dsl,530610519252,-122.19385839361487,47.79657653110967,530610519252.0,mdv_D_Diesel,b2b--c61-533
7456306-1-mdv,b2b-85,ft-689470,ft-mdv-Dsl,530610519252,-122.19385839361487,47.79657653110967,530610519252.0,mdv_D_Diesel,b2b--c61-294
7456306-1-mdv,b2b-92,ft-a1cf9e,ft-mdv-Dsl,530610519252,-122.19385839361487,47.79657653110967,530610519252.0,mdv_D_Diesel,b2b--c61-523
6414084-1-hdt,b2b-115,ft-6fc627,ft-hdt-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdt_D_Diesel,b2b--c61-671
6414084-1-hdt,b2b-119,ft-e6cab0,ft-hdt-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdt_D_Diesel,b2b--c61-675
6414084-1-hdt,b2b-125,ft-2084a3,ft-hdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdv_D_Diesel,b2b--c61-735
6414084-2-hdv,b2b-134,ft-0037cb,ft-hdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdv_D_Diesel,b2b--c61-747
6414084-2-hdv,b2b-138,ft-00d936,ft-hdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdv_D_Diesel,b2b--c61-797
6414084-2-hdv,b2b-141,ft-62d994,ft-hdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,hdv_D_Diesel,b2b--c61-800
6414084-2-ld3,b2b-146,ft-a602dd,ft-ld3-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,ld3_D_Diesel,b2b--c61-963
6414084-5-mdv,b2b-150,ft-65a33b,ft-mdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,mdv_D_Diesel,b2b--c61-979
6414084-5-mdv,b2b-156,ft-4892a5,ft-mdv-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,mdv_D_Diesel,b2b--c61-986
6414084-5-ld1,b2b-165,ft-2e39af,ft-ld1-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,ld1_D_Diesel,b2b--c61-1114
6414084-3-ld1,b2b-169,ft-69fe25,ft-ld1-Dsl,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,ld1_D_Diesel,b2b--c61-1212
6414084-4-ld3,b2b-172,ft-ab8afc,ft-ld3-Gas,530610418052,-122.22079056957138,47.90818296626557,530610418052.0,ld3_G_Gasoline,b2b--c61-1232
6381432-2-hdv,b2b-179,ft-8f4571,ft-hdv-Dsl,530530729061,-122.722177527917,47.06726163014591,530419708004.0,hdv_D_Diesel,b2b--c61-1272
6418742-1-hdt,b2b-213,ft-c8f9a8,ft-hdt-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,hdt_D_Diesel,b2b--c61-1414
6418742-1-hdt,b2b-215,ft-69ecfa,ft-hdt-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,hdt_D_Diesel,b2b--c61-1416
6418742-2-hdv,b2b-219,ft-75ce11,ft-hdv-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,hdv_D_Diesel,b2b--c61-1422
6418742-2-hdv,b2b-228,ft-f663c3,ft-hdv-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,hdv_D_Diesel,b2b--c61-1431
6418742-2-hdv,b2b-239,ft-31189c,ft-hdv-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,hdv_D_Diesel,b2b--c61-1534
6418742-2-ld3,b2b-255,ft-689522,ft-ld3-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,ld3_D_Diesel,b2b--c61-1874
6433892-2-hdv,b2b-258,ft-08a70f,ft-hdv-Dsl,530530726032,-122.722177527917,47.06726163014591,530670105101.0,hdv_D_Diesel,b2b--c61-1908
6418742-5-mdv,b2b-268,ft-6c9aed,ft-mdv-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,mdv_D_Diesel,b2b--c61-1995
6418742-5-mdv,b2b-271,ft-f586f1,ft-mdv-Dsl,530610413042,-122.2451428801999,47.925183244717616,530610413042.0,mdv_D_Diesel,b2b--c61-1939
7370692-1-hdt,b2b-306,ft-6d94a1,ft-hdt-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,hdt_D_Diesel,b2b--c61-2264
7370692-2-hdv,b2b-311,ft-ad58f0,ft-hdv-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,hdv_D_Diesel,b2b--c61-2269
7370692-2-hdv,b2b-319,ft-ad5e64,ft-hdv-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,hdv_D_Diesel,b2b--c61-2277
7370692-5-mdv,b2b-344,ft-13feef,ft-mdv-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,mdv_D_Diesel,b2b--c61-2685
7370692-5-mdv,b2b-345,ft-1be9cb,ft-mdv-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,mdv_D_Diesel,b2b--c61-2686
7370692-3-ld3,b2b-371,ft-20ed54,ft-ld3-Dsl,530610408002,-122.20740921411743,47.97867025191261,530610408002.0,ld3_D_Diesel,b2b--c61-2919
