payloadId,sequenceRank,tourId,payloadType,requestType,locationZone,estimatedTimeOfArrivalInSec,arrivalTimeWindowInSecLower,arrivalTimeWindowInSecUpper,operationDurationInSec,locationX,locationY,mesoZone,buyerNAICS,sellerNAICS,weightInKg,deliveryType,fleetType
61-db2b9,0,b2b-9,bulk,loading,3888,34200,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,3628.73896,delivery-only,
61-b2b917,1,b2b-9,bulk,unloading,3835,36000,35400,86400,1740,-122.16962822351088,48.06320988382292,3835.0,230301,212310.0,3628.73896,delivery-only,private
61-db2b9-,2,b2b-9,bulk,loading,3888,39060,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,0.0,delivery-only,
61-db2b10,0,b2b-10,bulk,loading,3888,34200,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,3628.73896,delivery-only,
61-b2b920,1,b2b-10,bulk,unloading,3835,36000,23460,86400,2160,-122.16445309156752,48.06249609474084,3835.0,230301,212310.0,3628.73896,delivery-only,private
61-db2b10-,2,b2b-10,bulk,loading,3888,39480,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,0.0,delivery-only,
61-db2b11,0,b2b-11,bulk,loading,3888,34200,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,3628.73896,delivery-only,
61-b2b916,1,b2b-11,bulk,unloading,3835,36000,24420,86400,1200,-122.1718747018671,48.06165834041312,3835.0,230301,212310.0,3628.73896,delivery-only,private
61-db2b11-,2,b2b-11,bulk,loading,3888,38520,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,0.0,delivery-only,
61-db2b12,0,b2b-12,bulk,loading,3888,34200,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,16329.32532,delivery-only,
61-b2b913,1,b2b-12,bulk,unloading,2185,42180,28200,86400,18420,-121.99656815337995,47.42119917378141,2185.0,230301,212310.0,16329.32532,delivery-only,private
61-db2b12-,2,b2b-12,bulk,loading,3888,67980,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,0.0,delivery-only,
61-db2b13,0,b2b-13,bulk,loading,3888,34200,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,7342.75328556,delivery-only,
61-b2b914,1,b2b-13,bulk,unloading,2185,42180,37620,86400,480,-121.9954471592728,47.42074372677818,2185.0,230301,212310.0,7342.75328556,delivery-only,private
61-db2b13-,2,b2b-13,bulk,loading,3888,50040,0,0,0,-121.93477546145756,48.10669995087368,3888.0,,,0.0,delivery-only,
61-db2b14,0,b2b-14,bulk,loading,3191,25800,0,0,0,-122.5791952039948,46.99964530187633,2586.0,,,16329.32532,delivery-only,
61-b2b939,1,b2b-14,bulk,unloading,3434,37380,21240,86400,10620,-122.18884512623453,47.97307624014399,3434.0,230301,212310.0,16329.32532,delivery-only,private
61-db2b14-,2,b2b-14,bulk,loading,3191,58080,0,0,0,-122.5791952039948,46.99964530187633,2586.0,,,0.0,delivery-only,
61-db2b15,0,b2b-15,bulk,loading,3191,25800,0,0,0,-122.5791952039948,46.99964530187633,2586.0,,,7337.76376949,delivery-only,
61-b2b940,1,b2b-15,bulk,unloading,3434,37380,30360,86400,1260,-122.19962224869928,47.97176413105675,3434.0,230301,212310.0,7337.76376949,delivery-only,private
61-db2b15-,2,b2b-15,bulk,loading,3191,48720,0,0,0,-122.5791952039948,46.99964530187633,2586.0,,,0.0,delivery-only,
61-db2b16,0,b2b-16,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b929,1,b2b-16,bulk,unloading,3911,40500,21900,86400,1140,-122.22726714908876,48.09988247335545,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b16-,2,b2b-16,bulk,loading,3191,53040,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b17,0,b2b-17,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b930,1,b2b-17,bulk,unloading,3911,40500,35400,86400,2520,-122.21225578546763,48.1009285730814,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b17-,2,b2b-17,bulk,loading,3191,54420,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b18,0,b2b-18,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b931,1,b2b-18,bulk,unloading,3911,40500,39000,86400,1680,-122.19263494503149,48.08022157984582,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b18-,2,b2b-18,bulk,loading,3191,53580,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b19,0,b2b-19,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b932,1,b2b-19,bulk,unloading,3911,40500,39000,86400,780,-122.19461480149452,48.10456762826843,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b19-,2,b2b-19,bulk,loading,3191,52680,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b20,0,b2b-20,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b933,1,b2b-20,bulk,unloading,3911,40500,18480,86400,1080,-122.18815753917102,48.1134416349065,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b20-,2,b2b-20,bulk,loading,3191,52980,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b21,0,b2b-21,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b934,1,b2b-21,bulk,unloading,3911,40500,38580,86400,2100,-122.24643595554436,48.11564839564572,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b21-,2,b2b-21,bulk,loading,3191,54000,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b22,0,b2b-22,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,3628.73896,delivery-only,
61-b2b935,1,b2b-22,bulk,unloading,3911,40500,36600,86400,2520,-122.24669084519732,48.103076298831525,3911.0,327330,2123A0,3628.73896,delivery-only,private
61-db2b22-,2,b2b-22,bulk,loading,3191,54420,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b23,0,b2b-23,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,166.46839979,delivery-only,
61-b2b936,1,b2b-23,bulk,unloading,3911,40500,21960,86400,300,-122.18750977029642,48.08808833328187,3911.0,327330,2123A0,166.46839979,delivery-only,private
61-db2b23-,2,b2b-23,bulk,loading,3191,52200,0,0,0,-122.5791952039948,46.99964530187633,2595.0,,,0.0,delivery-only,
61-db2b24,0,b2b-24,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b994,1,b2b-24,bulk,unloading,3721,36780,23520,86400,7860,-122.0781423593884,47.806310691977245,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b24-,2,b2b-24,bulk,loading,3191,53220,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b25,0,b2b-25,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b996,1,b2b-25,bulk,unloading,3721,36780,31800,86400,6660,-122.0593779867343,47.79159402619324,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b25-,2,b2b-25,bulk,loading,3191,52020,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b26,0,b2b-26,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b997,1,b2b-26,bulk,unloading,3721,36780,24540,86400,600,-122.0730028956131,47.79759697142224,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b995,2,b2b-26,bulk,unloading,3721,37380,31920,86400,1980,-122.0614545920112,47.78287145643912,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b26-,3,b2b-26,bulk,loading,3191,47940,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b27,0,b2b-27,bulk,loading,3191,28320,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b998,1,b2b-27,bulk,unloading,3721,39300,39300,86400,3660,-122.07209464755928,47.79956364845708,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b27-,2,b2b-27,bulk,loading,3191,51540,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b28,0,b2b-28,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1000,1,b2b-28,bulk,unloading,3721,36780,31200,86400,6000,-122.0946684385722,47.7960527995762,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b28-,2,b2b-28,bulk,loading,3191,51360,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b29,0,b2b-29,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1001,1,b2b-29,bulk,unloading,3721,36780,18900,86400,3780,-122.06611487074817,47.7864122796914,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b999,2,b2b-29,bulk,unloading,3721,40560,24180,86400,2880,-122.11106719597127,47.80377451775038,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b29-,3,b2b-29,bulk,loading,3191,52020,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b30,0,b2b-30,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1002,1,b2b-30,bulk,unloading,3721,36780,27720,86400,13260,-122.08746127889964,47.79875247072749,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b30-,2,b2b-30,bulk,loading,3191,58620,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b31,0,b2b-31,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1004,1,b2b-31,bulk,unloading,3721,36780,18480,86400,4440,-122.07799330760672,47.81067140658215,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b31-,2,b2b-31,bulk,loading,3191,49800,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b32,0,b2b-32,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1005,1,b2b-32,bulk,unloading,3721,36780,27300,86400,960,-122.07943451870784,47.81073757031861,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1003,2,b2b-32,bulk,unloading,3721,37740,29400,86400,840,-122.07995194859151,47.808217325390856,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b32-,3,b2b-32,bulk,loading,3191,47160,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b33,0,b2b-33,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1006,1,b2b-33,bulk,unloading,3721,36780,35400,86400,4500,-122.06908199281898,47.79281514830844,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b33-,2,b2b-33,bulk,loading,3191,49860,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b34,0,b2b-34,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1008,1,b2b-34,bulk,unloading,3721,36780,33600,86400,4260,-122.10430300323377,47.80516219721157,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b34-,2,b2b-34,bulk,loading,3191,49620,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b35,0,b2b-35,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1009,1,b2b-35,bulk,unloading,3721,37980,37980,86400,1020,-122.06071520273036,47.79008096944714,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1007,2,b2b-35,bulk,unloading,3721,39000,36420,86400,600,-122.06526397064768,47.785388398768056,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b35-,3,b2b-35,bulk,loading,3191,48180,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b36,0,b2b-36,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1010,1,b2b-36,bulk,unloading,3721,37320,37320,86400,4440,-122.06583276322552,47.7862536382688,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b36-,2,b2b-36,bulk,loading,3191,50340,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b37,0,b2b-37,bulk,loading,3191,28020,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
61-b2b1012,1,b2b-37,bulk,unloading,3721,39000,39000,86400,4920,-122.0687773586298,47.78294198347059,3721.0,321100,113000,16329.32532,delivery-only,private
61-db2b37-,2,b2b-37,bulk,loading,3191,52500,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b38,0,b2b-38,bulk,loading,3191,27600,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,13982.43839762,delivery-only,
61-b2b1013,1,b2b-38,bulk,unloading,3721,36780,18540,86400,3960,-122.08175687699944,47.79037479298872,3721.0,321100,113000,6991.21919881,delivery-only,private
61-b2b1011,2,b2b-38,bulk,unloading,3721,40740,24180,86400,1740,-122.10344149387352,47.80799661434244,3721.0,321100,113000,6991.21919881,delivery-only,private
61-db2b38-,3,b2b-38,bulk,loading,3191,51060,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,0.0,delivery-only,
61-db2b39,0,b2b-39,bulk,loading,3191,21000,0,0,0,-122.5791952039948,46.99964530187633,2600.0,,,16329.32532,delivery-only,
